Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_http,11,10894,11875,12592,12807,12979,7579,13022,0.0
jmeter_create_repo_shallow_copy,20,28,27,32,34,36,25,37,0.0
jmeter_git_add,14949,3,3,3,4,5,1,41,0.0
jmeter_git_commit,14949,5,5,6,7,8,3,47,0.0
jmeter_git_push_via_http,8207,498,465,762,857,1072,219,2055,0.0
jmeter_git_fetch_via_http,8203,275,192,403,828,1847,84,4828,0.0
jmeter_clone_repo_via_ssh,9,11679,11427,13251,13863,14353,9174,14475,0.0
jmeter_git_push_via_ssh,6742,495,479,705,767,923,213,1878,0.0
jmeter_git_fetch_via_ssh,6741,446,253,1230,1615,2476,145,4451,0.0
selenium_login:open_login_page,122,166,157,184,235,273,143,397,0.0
selenium_login:login_get_started,122,331,321,403,433,461,258,511,0.0
selenium_login,122,589,579,657,692,747,501,924,0.0
selenium_view_dashboard,122,1652,1618,2626,3072,3912,348,3988,0.0
selenium_create_pull_request:create_pull_request,122,7513,7572,8453,8698,9126,6093,9219,0.0
selenium_create_pull_request:merge_pull_request,122,2853,2822,3854,4365,4874,1271,5900,0.0
selenium_create_pull_request,122,11433,11482,13316,13975,14515,8507,16088,0.0
selenium_view_projects,122,442,438,474,501,546,355,582,0.0
selenium_view_project_repositories,122,276,264,298,320,672,231,795,0.0
selenium_view_repository,122,446,392,752,805,886,305,914,0.0
selenium_view_list_pull_requests,122,384,378,442,464,480,304,529,0.0
selenium_view_pull_request_overview,122,871,656,1295,1326,1471,462,1512,0.0
selenium_view_pull_request_diff,122,688,592,986,1016,1050,434,1073,0.0
selenium_view_pull_request_commits,122,1344,1466,1621,1952,2040,875,2079,0.0
selenium_comment_pull_request_file,122,1487,1468,1671,1830,2136,1134,2248,0.0
selenium_comment_pull_request_overview,122,1135,1142,1241,1256,1287,336,1319,0.0
selenium_view_branches,122,856,848,878,892,1132,802,1359,0.0
selenium_view_commits,122,1198,1194,1262,1289,1368,1061,1396,0.0
selenium_app_custom_action:view_snippets_page,122,706,704,779,804,910,592,1056,0.0
selenium_app_custom_action,122,706,704,780,805,910,592,1056,0.0
selenium_log_out,122,162,157,177,206,240,141,277,0.0
