Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2455,2449,2654,2691,2762,2089,2997,0.0
locust_create_and_edit_page:create_page_editor,1410,535,353,721,909,1318,318,29006,0.0
locust_search_cql:recently_viewed,1614,61,33,61,86,187,26,14569,0.0
locust_view_page:open_page,12762,924,555,1259,1549,3033,418,53011,0.0
locust_upload_attachment,1218,1386,568,1417,3172,27405,358,58701,0.0
locust_like_page,724,106,52,72,104,299,31,18170,0.0
locust_create_and_edit_page:create_page,1410,829,597,1204,1448,1976,541,32118,0.0
locust_search_cql:search_results,1613,689,500,1125,1501,2158,279,26970,0.0
locust_view_page:view_page_tree,12760,232,141,340,476,687,28,24040,0.0
locust_create_and_edit_page:open_editor,1406,405,217,485,696,992,193,28711,0.0
locust_view_dashboard,1379,2080,1844,2769,3143,3883,1631,29837,0.0
locust_create_and_edit_page:edit_page,1399,931,618,1243,1444,3640,557,30099,0.0
locust_view_blog,1902,1774,1192,2180,2531,21552,926,55264,0.0
locust_view_attachment,694,195,118,269,436,660,84,22411,0.0
locust_create_blog:blog_editor,680,546,379,852,1012,1390,348,23012,0.0
locust_comment_page,1146,179,136,217,273,450,103,23913,0.0
locust_create_blog:feel_and_publish,680,847,585,1253,1464,2023,532,31633,0.0
selenium_login:open_login_page,239,132,128,137,146,214,119,331,0.0
selenium_login:login_and_view_dashboard,239,890,854,972,1019,1867,761,2198,0.0
selenium_login,239,1105,1069,1193,1247,2164,964,2490,0.0
selenium_view_page,239,553,450,978,1021,1372,306,1940,0.0
selenium_create_page:open_create_page_editor,239,709,710,804,839,908,565,1996,0.0
selenium_create_page:save_created_page,239,643,636,689,707,765,563,1176,0.0
selenium_create_page,239,2028,1993,2128,2234,3214,1792,3765,0.0
selenium_edit_page:open_create_page_editor,239,1835,1633,2620,2702,2947,965,3217,0.0
selenium_edit_page:save_edited_page,239,930,786,1280,1383,1832,621,2713,0.0
selenium_edit_page,239,2789,2721,3617,3811,4297,1686,4707,0.0
selenium_create_comment:write_comment,239,682,674,754,775,1689,553,2261,0.0
selenium_create_comment:save_comment,239,630,628,643,646,653,614,655,0.0
selenium_create_comment,239,1826,1730,2232,2307,3015,1519,3313,0.0
selenium_view_blog,239,1017,678,1115,1466,5489,509,47749,0.0
selenium_view_dashboard,239,1760,1718,1852,1928,2376,1305,3489,0.0
selenium_log_out,239,133,128,136,144,215,120,450,0.0
