Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,67184,74166,101207,102674,103804,4901,104430,0.0
locust_like_page,63,4072,3447,8100,8307,11058,69,11149,0.0
locust_view_page,1074,27702,25040,53527,60628,64916,808,69905,0.0
locust_search_recently_viewed,144,1808,1582,3442,3914,5252,35,5431,0.0
locust_view_page_tree,1027,2162,1848,3993,4927,6125,49,7080,0.0
locust_upload_attachments,105,10078,9086,15476,17874,19999,551,21831,3.0
locust_view_dashboard,93,59700,61753,69666,73938,76920,11312,77049,0.0
locust_create_page_editor,118,20181,18004,39593,42976,49227,629,51018,0.0
locust_search_cql,143,11643,11206,15720,17665,20703,2144,49791,0.0
locust_view_attachments,68,3441,2968,6032,6824,7223,322,7424,0.0
locust_comment_page,103,2523,2161,5027,5658,11017,152,13661,0.0
locust_create_page,114,31687,29174,53287,67641,79861,1215,80628,0.0
locust_create_blog_editor,63,20363,18183,41462,49283,49703,1062,50053,0.0
locust_open_editor,103,14593,13858,23809,33663,41674,639,42302,0.0
locust_view_blog,152,34568,30160,69220,70906,77598,3137,79587,0.0
locust_create_blog,59,32206,28482,63138,70150,77284,1505,77423,0.0
locust_edit_page,99,30012,29070,35839,63317,74014,1636,77511,0.0
selenium_login:open_login_page,5,1477,238,3972,5177,6140,184,6381,0.0
selenium_login:login_and_view_dashboard,5,10808,2134,25462,26768,27814,779,28075,0.0
selenium_login,5,12371,2445,28245,28324,28387,1224,28403,0.0
selenium_view_page,5,4490,1251,11196,13885,16036,639,16574,0.0
selenium_create_page:open_create_page_editor,5,3666,1072,8584,10042,11208,702,11500,0.0
selenium_create_page:save_created_page,4,2562,1038,5590,6559,7334,643,7528,0.0
selenium_create_page,5,12905,4099,27961,29739,31161,2901,31517,0.0
selenium_edit_page:open_create_page_editor,5,10758,5086,21005,21385,21689,2715,21765,0.0
selenium_edit_page:save_edited_page,5,5581,1818,11712,11760,11798,1142,11808,0.0
selenium_edit_page,5,16361,6675,32692,33024,33290,4555,33356,0.0
selenium_create_comment:write_comment,5,6221,1207,15595,18250,20374,559,20905,0.0
selenium_create_comment:save_comment,5,2546,618,5903,6819,7552,605,7735,0.0
selenium_create_comment,5,11954,2561,27711,30617,32942,2284,33523,0.0
selenium_view_blog,5,4219,2105,8463,8530,8584,763,8597,0.0
selenium_view_dashboard,5,21985,23374,34363,35140,35762,6163,35917,0.0
selenium_log_out,5,3405,421,8852,10337,11525,177,11822,0.0
