Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_http,4,6321,6542,6665,6670,6674,5524,6675,0.0
jmeter_create_repo_shallow_copy,15,36,30,38,63,107,15,118,0.0
jmeter_git_add,706,2,2,3,3,7,1,10,0.0
jmeter_git_commit,706,5,5,6,7,11,3,19,0.0
jmeter_git_push_via_http,209,297,255,450,580,626,221,800,0.0
jmeter_git_fetch_via_http,209,180,120,363,373,408,92,475,0.0
jmeter_clone_repo_via_ssh,11,6253,6423,7384,7788,8111,1749,8192,9.0
jmeter_git_push_via_ssh,497,339,288,513,587,699,21,796,0.0
jmeter_git_fetch_via_ssh,496,402,431,580,629,719,180,968,0.0
selenium_login:open_login_page,145,158,148,163,172,252,142,1050,0.0
selenium_login:login_get_started,145,314,307,327,356,453,287,564,0.0
selenium_login,145,561,541,587,630,751,522,1705,0.0
selenium_view_dashboard,145,1146,1137,1317,1516,1928,370,2150,0.0
selenium_create_pull_request:create_pull_request,145,6444,6364,6702,7012,7353,5884,12614,0.0
selenium_create_pull_request:merge_pull_request,145,1406,1279,1790,1793,2301,1265,2808,0.0
selenium_create_pull_request,145,8896,8743,9418,9552,10523,8194,14981,0.0
selenium_view_projects,145,422,414,474,485,510,329,1017,0.0
selenium_view_project_repositories,145,259,245,262,290,751,234,788,0.0
selenium_view_repository,145,373,323,653,664,727,312,1027,0.0
selenium_view_list_pull_requests,145,355,345,384,424,559,310,988,0.0
selenium_view_pull_request_overview,145,748,496,1142,1161,1314,430,1478,0.0
selenium_view_pull_request_diff,145,642,519,898,928,1029,420,1134,0.0
selenium_view_pull_request_commits,145,916,907,960,985,1053,414,1122,0.0
selenium_comment_pull_request_file,145,1616,1607,1747,1802,1839,1411,1864,0.0
selenium_comment_pull_request_overview,145,1068,1092,1129,1143,1295,358,1305,0.0
selenium_view_branches,145,847,835,897,912,929,804,943,0.0
selenium_view_commits,145,1128,1100,1193,1228,1500,1064,1728,0.0
selenium_app_custom_action:view_snippets_page,145,636,608,689,731,870,582,1930,0.0
selenium_app_custom_action,145,636,608,689,731,870,582,1930,0.0
selenium_log_out,145,153,150,163,180,208,139,212,0.0
