Summary run status                                 OK
                 
Artifacts dir                                      2021-03-11_14-08-05 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        confluence          
Dataset info                                       913792 pages        
Application nodes count                            1                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           3011 sec            
Finished                                           (True, 'OK')        
Compliant                                          (True, 'OK')        
Success                                            (True, 'OK')        
Has app-specific actions                           True                

Action                                            Success Rate        Avg time            Status              
locust_comment_page                                100.0               0.069               OK                  
locust_create_and_edit_page:create_page            100.0               0.348               OK                  
locust_create_and_edit_page:create_page_editor     100.0               0.198               OK                  
locust_create_and_edit_page:edit_page              100.0               0.366               OK                  
locust_create_and_edit_page:open_editor            100.0               0.149               OK                  
locust_create_blog:blog_editor                     100.0               0.223               OK                  
locust_create_blog:feel_and_publish                100.0               0.357               OK                  
locust_like_page                                   100.0               0.027               OK                  
locust_login_and_view_dashboard                    100.0               1.496               OK                  
locust_search_cql:recently_viewed                  100.0               0.015               OK                  
locust_search_cql:search_results                   100.0               0.356               OK                  
locust_upload_attachment                           100.0               0.458               OK                  
locust_view_attachment                             100.0               0.1                 OK                  
locust_view_blog                                   100.0               0.627               OK                  
locust_view_dashboard                              99.82               1.018               OK                  
locust_view_page:open_page                         99.96               0.399               OK                  
locust_view_page:view_page_tree                    100.0               0.035               OK                  
selenium_a_login                                   100.0               0.848               OK                  
selenium_create_comment                            100.0               1.644               OK                  
selenium_create_page                               100.0               1.871               OK                  
selenium_edit_page                                 100.0               2.42                OK                  
selenium_view_blog                                 100.0               0.638               OK                  
selenium_view_dashboard                            100.0               1.027               OK                  
selenium_view_page                                 100.0               0.585               OK                  
selenium_z_log_out                                 100.0               0.133               OK                  
selenium_custom_action                             40.0                12.974              Fail                APP-SPECIFIC        
