Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2407,2378,2604,2676,2781,2195,2990,0.0
locust_app_specific_action,370,0,0,0,0,0,0,1,100.0
locust_search_cql:recently_viewed,454,33,32,37,41,63,26,112,0.0
locust_view_page:open_page,3245,613,542,1016,1100,1224,436,1477,0.0
locust_create_blog:blog_editor,171,378,374,409,416,438,347,462,0.0
locust_like_page,195,45,49,54,55,74,31,81,0.0
locust_create_and_edit_page:create_page_editor,358,352,348,373,384,423,321,443,0.0
locust_search_cql:search_results,451,517,449,560,657,2384,267,7753,0.0
locust_view_page:view_page_tree,3233,125,124,169,184,212,40,334,0.0
locust_create_blog:feel_and_publish,167,590,585,623,632,674,530,700,0.0
locust_upload_attachment,302,603,522,977,1057,1236,356,1490,0.0
locust_create_and_edit_page:create_page,356,590,585,624,638,671,543,716,0.0
locust_view_attachment,180,129,116,178,199,261,84,288,0.0
locust_view_dashboard,364,1783,1760,1925,1994,2198,1609,2427,0.0
locust_view_blog,485,1192,1117,1363,1871,2021,928,2204,0.0
locust_create_and_edit_page:open_editor,353,214,211,229,237,277,195,313,0.0
locust_comment_page,282,139,134,177,195,227,104,289,0.0
locust_create_and_edit_page:edit_page,346,607,603,637,652,698,557,753,0.0
selenium_login:open_login_page,43,131,125,131,139,248,121,327,0.0
selenium_login:login_and_view_dashboard,43,846,830,922,975,1000,753,1000,0.0
selenium_login,43,1061,1046,1139,1208,1294,956,1346,0.0
selenium_view_page,43,538,471,954,1013,1090,369,1108,0.0
selenium_create_page:open_create_page_editor,43,758,765,838,847,867,655,881,0.0
selenium_create_page:save_created_page,43,646,647,680,709,723,568,726,0.0
selenium_create_page,43,2051,2044,2131,2140,2158,1906,2167,0.0
selenium_edit_page:open_create_page_editor,43,1717,1591,2610,2640,2720,1001,2761,0.0
selenium_edit_page:save_edited_page,43,868,757,1227,1285,1342,663,1382,0.0
selenium_edit_page,43,2608,2556,3460,3499,3610,1753,3668,0.0
selenium_create_comment:write_comment,43,686,694,753,785,817,341,827,0.0
selenium_create_comment:save_comment,43,629,623,645,649,691,612,715,0.0
selenium_create_comment,43,1820,1751,2208,2356,2421,1453,2455,0.0
selenium_view_blog,43,733,667,875,1386,1433,508,1449,0.0
selenium_view_dashboard,43,1726,1715,1775,1817,1904,1665,1906,0.0
selenium_app_custom_action:view_page,43,3210,3246,3443,3499,3644,2626,3714,0.0
selenium_app_custom_action,43,3210,3246,3443,3499,3644,2626,3714,0.0
selenium_log_out,43,200,198,206,208,244,193,268,0.0
