Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_http,7,13348,13038,17757,18119,18409,8773,18481,0.0
jmeter_create_repo_shallow_copy,20,30,28,35,35,37,26,38,0.0
jmeter_git_add,14928,3,3,3,4,7,1,38,0.0
jmeter_git_commit,14928,5,5,6,7,10,3,39,0.0
jmeter_git_push_via_http,5210,316,282,357,452,1105,231,8926,0.0
jmeter_git_fetch_via_http,5210,170,116,180,501,1303,92,2903,0.0
jmeter_clone_repo_via_ssh,13,15578,15509,18865,20112,21333,10515,21638,0.0
jmeter_git_push_via_ssh,9718,383,332,527,598,1098,211,2884,0.0
jmeter_git_fetch_via_ssh,9718,429,242,1261,1517,1997,145,3479,0.0
selenium_login:open_login_page,125,172,157,181,231,276,144,1256,0.0
selenium_login:login_get_started,125,651,327,389,455,544,268,39119,0.0
selenium_login,125,912,577,668,724,782,501,40463,0.0
selenium_view_dashboard,125,973,789,1696,1835,2522,385,3048,0.0
selenium_create_pull_request:create_pull_request,125,7525,7387,8265,8794,10038,6065,15811,0.0
selenium_create_pull_request:merge_pull_request,125,2626,2800,3326,3342,4221,1282,4357,0.0
selenium_create_pull_request,125,11214,11160,12458,12939,15185,8705,18861,0.0
selenium_view_projects,125,468,446,528,543,602,342,1241,0.0
selenium_view_project_repositories,125,266,256,285,299,570,235,761,0.0
selenium_view_repository,125,406,366,440,717,828,312,1845,0.0
selenium_view_list_pull_requests,125,391,382,432,451,523,323,1028,0.0
selenium_view_pull_request_overview,125,623,537,1127,1192,1329,459,1357,0.0
selenium_view_pull_request_diff,125,752,873,932,945,971,436,1012,0.0
selenium_view_pull_request_commits,125,1430,1472,1627,1968,2408,922,2963,0.0
selenium_comment_pull_request_file,125,1550,1510,1687,1853,2131,1332,2922,0.0
selenium_comment_pull_request_overview,125,1067,1113,1149,1166,1268,328,1298,0.0
selenium_view_branches,125,876,850,914,974,1359,818,1398,0.0
selenium_view_commits,125,1210,1199,1277,1301,1417,1110,1793,0.0
selenium_app_custom_action:view_snippets_page,125,688,664,767,799,853,592,1875,0.0
selenium_app_custom_action,125,688,664,767,799,853,592,1875,0.0
selenium_log_out,125,160,156,174,187,224,143,236,0.0
