Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_http,5,6797,6668,7323,7324,7325,6219,7325,0.0
jmeter_create_repo_shallow_copy,9,32,31,35,38,40,28,41,0.0
jmeter_git_add,250,2,2,3,3,5,2,6,0.0
jmeter_git_commit,250,5,5,6,8,10,3,13,0.0
jmeter_git_push_via_http,132,281,276,319,329,357,225,452,0.0
jmeter_git_fetch_via_http,132,278,138,528,549,559,105,634,0.0
jmeter_clone_repo_via_ssh,4,6676,6703,6788,6791,6793,6507,6793,0.0
jmeter_git_push_via_ssh,118,308,284,387,467,578,233,647,0.0
jmeter_git_fetch_via_ssh,118,513,532,664,702,741,222,823,0.0
selenium_login:open_login_page,143,161,151,155,163,248,145,1193,0.0
selenium_login:login_get_started,143,318,314,326,332,378,301,651,0.0
selenium_login,143,569,555,571,601,657,538,1934,0.0
selenium_view_dashboard,143,1111,1148,1213,1225,1271,366,1988,0.0
selenium_create_pull_request:create_pull_request,143,6456,6387,6634,6757,7222,5937,13469,0.0
selenium_create_pull_request:merge_pull_request,143,1364,1288,1799,1806,1815,1276,1892,0.0
selenium_create_pull_request,143,8871,8764,9237,9377,9862,8243,15821,0.0
selenium_view_projects,143,422,421,442,463,532,342,1144,0.0
selenium_view_project_repositories,143,260,251,273,285,466,240,739,0.0
selenium_view_repository,143,378,336,672,679,696,319,752,0.0
selenium_view_list_pull_requests,143,366,357,394,418,500,322,1048,0.0
selenium_view_pull_request_overview,143,802,559,1188,1215,1275,439,1345,0.0
selenium_view_pull_request_diff,143,614,526,941,953,1030,441,1102,0.0
selenium_view_pull_request_commits,143,916,923,958,970,1012,424,1127,0.0
selenium_comment_pull_request_file,143,1777,1760,1899,1925,2103,1579,2222,0.0
selenium_comment_pull_request_overview,143,1110,1143,1175,1182,1216,833,1311,0.0
selenium_view_branches,143,855,845,899,908,932,819,959,0.0
selenium_view_commits,143,1134,1120,1182,1194,1244,1087,1708,0.0
selenium_app_custom_action:view_snippets_page,143,638,620,672,696,802,592,1824,0.0
selenium_app_custom_action,143,638,620,672,696,802,592,1825,0.0
selenium_log_out,143,154,153,158,163,191,144,195,0.0
