Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,1436,1428,1496,1513,1563,1370,1606,0.0
locust_view_page:open_page,4712,381,333,625,667,732,14,810,0.0
locust_search_cql:recently_viewed,614,15,14,17,19,24,11,56,0.0
locust_view_blog,733,634,575,1028,1073,1123,371,1216,0.0
locust_view_dashboard,531,1020,1011,1077,1103,1150,961,1191,0.0
locust_upload_attachment,461,436,379,659,725,830,283,1024,0.0
locust_like_page,280,28,29,33,36,81,16,111,0.0
locust_comment_page,423,72,67,91,103,134,47,283,0.0
locust_view_page:view_page_tree,4679,35,31,50,57,77,11,597,0.0
locust_search_cql:search_results,609,398,346,427,558,2125,200,5574,0.0
locust_view_attachment,255,98,88,138,154,166,68,179,0.0
locust_create_and_edit_page:create_page_editor,501,198,194,215,225,265,166,300,0.0
locust_create_blog:blog_editor,257,219,216,239,254,288,185,308,0.0
locust_create_and_edit_page:create_page,494,347,342,374,399,443,297,506,0.0
locust_create_blog:feel_and_publish,254,358,351,393,412,454,300,489,0.0
locust_create_and_edit_page:open_editor,485,151,149,165,176,211,122,257,0.0
locust_create_and_edit_page:edit_page,477,362,360,393,409,436,308,460,0.0
selenium_login:open_login_page,274,115,103,157,164,179,94,339,0.0
selenium_login:login_and_view_dashboard,274,624,614,669,688,726,556,741,0.0
selenium_login,274,824,822,880,891,932,750,1107,0.0
selenium_view_page,274,522,480,709,748,795,318,838,0.0
selenium_create_page:open_create_page_editor,274,677,675,732,752,773,569,858,0.0
selenium_create_page:save_created_page,274,614,604,617,623,657,567,2970,0.0
selenium_create_page,274,1922,1913,1981,1993,2040,1434,4268,0.0
selenium_edit_page:open_create_page_editor,274,1564,1544,2162,2574,2768,974,2797,0.0
selenium_edit_page:save_edited_page,274,781,736,958,1003,1069,616,1168,0.0
selenium_edit_page,274,2368,2308,3057,3358,3665,1637,3811,0.0
selenium_create_comment:write_comment,274,537,652,763,771,793,269,852,0.0
selenium_create_comment:save_comment,274,594,620,655,662,674,130,676,0.0
selenium_create_comment,274,1561,1619,1862,2026,2116,791,2138,0.0
selenium_view_blog,274,593,554,707,1058,1113,346,1142,0.0
selenium_view_dashboard,274,1017,1012,1060,1074,1097,975,1115,0.0
selenium_app_custom_action:view_page,274,853,838,897,957,1164,704,1512,0.0
selenium_app_custom_action,274,853,838,897,957,1164,705,1512,0.0
selenium_log_out,274,116,101,159,165,177,92,192,0.0
