Summary run status                                 OK
                 
Artifacts dir                                      2021-02-11_11-57-20 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        confluence          
Dataset info                                       930969 pages        
Application nodes count                            2                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           3011 sec            
Finished                                           (True, 'OK')        
Compliant                                          (True, 'OK')        
Success                                            (True, 'OK')        
Has app-specific actions                           True                

Action                                            Success Rate        Avg time            Status              
locust_comment_page                                100.0               0.172               OK                  
locust_create_and_edit_page:create_page            100.0               0.582               OK                  
locust_create_and_edit_page:create_page_editor     100.0               0.322               OK                  
locust_create_and_edit_page:edit_page              100.0               0.611               OK                  
locust_create_and_edit_page:open_editor            100.0               0.212               OK                  
locust_create_blog:blog_editor                     100.0               0.349               OK                  
locust_create_blog:feel_and_publish                100.0               0.632               OK                  
locust_like_page                                   100.0               0.043               OK                  
locust_login_and_view_dashboard                    100.0               2.151               OK                  
locust_search_cql:recently_viewed                  100.0               0.029               OK                  
locust_search_cql:search_results                   100.0               0.46                OK                  
locust_upload_attachment                           100.0               1.088               OK                  
locust_view_attachment                             100.0               0.163               OK                  
locust_view_blog                                   100.0               1.297               OK                  
locust_view_dashboard                              100.0               1.496               OK                  
locust_view_page:open_page                         100.0               0.643               OK                  
locust_view_page:view_page_tree                    100.0               0.291               OK                  
selenium_a_login                                   100.0               0.94                OK                  
selenium_create_comment                            100.0               1.732               OK                  
selenium_create_page                               100.0               1.995               OK                  
selenium_edit_page                                 100.0               2.599               OK                  
selenium_view_blog                                 100.0               1.258               OK                  
selenium_view_dashboard                            100.0               1.046               OK                  
selenium_view_page                                 100.0               0.759               OK                  
selenium_z_log_out                                 100.0               0.182               OK                  
locust_app_specific_action                         100.0               7.278               OK                  APP-SPECIFIC        
selenium_custom_action                             100.0               8.992               OK                  APP-SPECIFIC        
