Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2151,2370,2581,2640,2724,1555,3600,0.0
locust_create_and_edit_page:create_page_editor,1426,322,364,402,415,443,206,666,0.0
locust_view_dashboard,1361,1496,1447,1850,1893,1972,1024,2552,0.0
locust_view_page:open_page,12261,643,579,829,1131,1335,292,39353,0.0
locust_comment_page,1125,172,163,247,270,320,89,1440,0.0
locust_upload_attachment,1110,1088,670,1104,1264,10968,386,55280,0.0
locust_like_page,702,43,41,60,63,79,20,104,0.0
locust_create_and_edit_page:create_page,1423,582,641,701,719,755,402,856,0.0
locust_view_page:view_page_tree,12246,291,281,415,459,547,26,1206,0.0
locust_view_blog,1818,1297,1296,1575,2063,2314,609,37214,0.0
locust_search_cql:recently_viewed,1583,29,30,41,44,65,12,199,0.0
locust_create_and_edit_page:open_editor,1414,212,221,247,257,290,152,399,0.0
locust_app_specific_action,1456,7278,7318,9786,9937,10291,2794,37819,0.0
locust_search_cql:search_results,1577,460,453,531,592,1586,232,7096,0.0
locust_create_and_edit_page:edit_page,1407,611,670,734,751,801,428,1597,0.0
locust_create_blog:blog_editor,694,349,324,431,444,506,237,738,0.0
locust_create_blog:feel_and_publish,692,632,628,760,784,828,447,869,0.0
locust_view_attachment,713,163,141,253,273,326,88,1304,0.0
selenium_login:open_login_page,138,117,99,105,107,133,94,2421,0.0
selenium_login:login_and_view_dashboard,138,711,714,766,800,829,619,844,0.0
selenium_login,138,916,900,962,983,1020,802,3275,0.0
selenium_view_page,138,758,679,826,888,1949,444,6702,0.0
selenium_create_page:open_create_page_editor,138,724,686,792,829,888,607,3048,0.0
selenium_create_page:save_created_page,138,650,633,708,719,741,575,1730,0.0
selenium_create_page,138,1994,1984,2076,2104,2209,1479,5919,0.0
selenium_edit_page:open_create_page_editor,138,1693,1623,2618,2688,2944,1002,3471,0.0
selenium_edit_page:save_edited_page,138,883,814,1118,1207,1322,635,1763,0.0
selenium_edit_page,138,2598,2553,3430,3644,3972,1701,4611,0.0
selenium_create_comment:write_comment,138,597,700,804,835,875,276,910,0.0
selenium_create_comment:save_comment,138,627,624,642,648,655,605,657,0.0
selenium_create_comment,138,1731,1758,2035,2086,2153,1350,2187,0.0
selenium_view_blog,138,1257,886,1387,1491,3619,656,38180,0.0
selenium_view_dashboard,138,1045,1037,1099,1120,1204,977,1242,0.0
selenium_app_custom_action:view_page,138,8991,9458,10755,10880,11033,4423,11140,0.0
selenium_app_custom_action,138,8991,9458,10755,10880,11033,4424,11140,0.0
selenium_log_out,138,181,179,192,198,210,167,214,0.0
