Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,88519,10005,322103,326176,333469,10003,336402,94.0
locust_view_page,664,4000,180,366,5719,145470,2,300004,95.0
locust_view_page_tree,664,2545,170,274,431,137174,0,300004,96.0
locust_search_recently_viewed,88,297,19,54,98,10004,5,10005,98.0
locust_view_attachments,47,6614,184,271,973,163097,0,300002,96.0
locust_search_cql,88,2060,23,35,72,33950,2,134480,98.0
locust_comment_page,81,2020,27,50,558,36106,0,140512,98.0
locust_create_page_editor,104,3238,164,224,378,10004,0,300003,98.0
locust_upload_attachments,90,462,166,226,686,9005,0,10003,96.0
locust_view_blog,130,1534,171,253,1081,10004,0,144129,97.0
locust_create_page,104,44,0,27,34,1683,0,2019,98.0
locust_view_dashboard,96,4224,158,280,4620,51868,0,319729,95.0
locust_open_editor,104,30,0,153,202,295,0,502,98.0
locust_edit_page,103,22,0,20,25,792,0,1140,98.0
locust_like_page,46,7264,36,1532,10004,169505,0,300004,98.0
locust_create_blog_editor,54,523,173,273,2012,8067,0,10003,94.0
locust_create_blog,54,110,0,21,871,1979,0,2307,94.0
selenium_login:open_login_page,95,20409,20840,20984,21012,21246,184,21433,0.0
selenium_login:login_and_view_dashboard,2,1762,1762,2245,2306,2354,1157,2366,0.0
selenium_login,95,20448,20840,20984,21012,21246,1425,21433,0.0
selenium_view_page,2,3002,3002,4844,5075,5259,700,5305,0.0
selenium_create_page:open_create_page_editor,2,4855,4855,8154,8567,8897,731,8979,0.0
selenium_create_page:save_created_page,1,1588,1588,1588,1588,1588,1588,1588,0.0
selenium_create_page,2,18044,18044,20217,20488,20706,15328,20760,0.0
selenium_edit_page:open_create_page_editor,2,7498,7498,10344,10700,10985,3941,11056,0.0
selenium_edit_page:save_edited_page,2,5342,5342,8702,9122,9458,1143,9542,0.0
selenium_edit_page,2,12865,12865,19071,19847,20468,5107,20623,0.0
selenium_create_comment:write_comment,2,155110,155110,277526,292828,305070,2091,308130,0.0
selenium_create_comment,2,157002,157002,280127,295517,307830,3097,310908,0.0
selenium_view_blog,2,99134,99134,154048,160913,166404,30490,167777,0.0
selenium_view_dashboard,2,22258,22258,23850,24049,24208,20268,24248,0.0
selenium_log_out,2,253,253,447,472,491,10,496,0.0
selenium_create_comment:save_comment,1,608,608,608,608,608,608,608,0.0
