Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_ssh,12,8351,8580,9750,9855,9945,5296,9968,0.0
jmeter_create_repo_shallow_copy,19,34,28,40,50,112,11,127,0.0
jmeter_git_add,1159,2,2,3,3,5,1,16,0.0
jmeter_git_commit,1159,5,5,6,6,9,4,15,0.0
jmeter_git_push_via_ssh,725,496,484,660,706,784,249,860,0.0
jmeter_git_fetch_via_ssh,723,480,277,936,1037,1336,36,1904,0.0
jmeter_clone_repo_via_http,7,7278,7415,9180,9319,9430,4386,9458,14.000000000000002
jmeter_git_push_via_http,434,505,491,726,779,851,241,898,0.0
jmeter_git_fetch_via_http,434,341,238,825,959,1174,102,1583,0.0
selenium_login:open_login_page,30,164,150,177,194,384,143,456,0.0
selenium_login:login_get_started,30,328,317,380,410,437,282,445,0.0
selenium_login,30,588,564,654,690,907,522,994,0.0
selenium_view_dashboard,30,979,1000,1650,1664,1701,294,1713,0.0
selenium_create_pull_request:create_pull_request,30,6801,6868,7101,7167,7572,6221,7737,0.0
selenium_create_pull_request:merge_pull_request,30,1857,1800,2332,2349,2681,1277,2815,0.0
selenium_create_pull_request,30,9722,9748,10400,10782,11163,8644,11210,0.0
selenium_view_projects,30,460,453,518,546,592,415,610,0.0
selenium_view_project_repositories,30,265,262,298,304,313,242,315,0.0
selenium_view_repository,30,402,396,445,503,719,315,792,0.0
selenium_view_list_pull_requests,30,357,356,396,412,426,317,428,0.0
selenium_view_pull_request_overview,30,820,862,1163,1187,1397,448,1475,0.0
selenium_view_pull_request_diff,30,610,512,910,967,1105,433,1143,0.0
selenium_view_pull_request_commits,30,983,938,1061,1293,1500,881,1520,0.0
selenium_comment_pull_request_file,30,1221,1180,1282,1463,1864,1063,2017,0.0
selenium_comment_pull_request_overview,30,952,942,1199,1242,1270,450,1275,0.0
selenium_view_branches,30,847,835,887,916,972,803,995,0.0
selenium_view_commits,30,1152,1148,1222,1235,1243,1078,1243,0.0
selenium_log_out,30,159,154,177,181,185,147,186,0.0
