Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2175,2190,2352,2371,2543,1878,4044,0.0
locust_view_dashboard,528,1551,1668,1764,1784,1819,1245,1942,0.0
locust_view_page:open_page,4703,643,623,921,998,1105,346,2754,0.0
locust_upload_attachment,463,699,648,961,1047,1164,435,1315,0.0
locust_create_and_edit_page:create_page_editor,538,369,364,452,463,507,261,1032,0.0
locust_view_blog,735,1394,1437,1862,2064,2284,684,2465,0.0
locust_search_cql:recently_viewed,564,35,38,47,49,51,17,176,0.0
locust_view_page:view_page_tree,4662,128,107,217,261,361,17,519,0.0
locust_comment_page,422,197,193,260,273,324,120,449,0.0
locust_create_and_edit_page:create_page,535,661,644,785,803,843,486,1198,0.0
locust_search_cql:search_results,557,415,421,472,504,1028,234,2279,0.0
locust_create_blog:blog_editor,239,427,399,522,532,568,307,630,0.0
locust_like_page,258,58,55,78,79,82,25,106,0.0
locust_create_and_edit_page:open_editor,531,245,252,284,293,332,177,470,0.0
locust_view_attachment,265,162,142,268,292,327,98,344,0.0
locust_create_blog:feel_and_publish,237,668,643,781,791,819,516,879,0.0
locust_create_and_edit_page:edit_page,524,699,657,827,838,871,513,911,0.0
selenium_login:open_login_page,233,136,134,139,140,171,126,355,0.0
selenium_login:login_and_view_dashboard,233,708,694,782,792,844,644,924,0.0
selenium_login,233,923,909,994,1006,1056,855,1360,0.0
selenium_view_page,233,549,490,784,855,1126,311,1179,0.0
selenium_create_page:open_create_page_editor,233,698,690,742,777,832,603,837,0.0
selenium_create_page:save_created_page,233,622,620,641,649,662,574,677,0.0
selenium_create_page,233,1954,1947,2009,2030,2090,1838,2116,0.0
selenium_edit_page:open_create_page_editor,233,1646,1580,2533,2648,2752,989,2833,0.0
selenium_edit_page:save_edited_page,233,1597,867,1238,1353,20175,646,20202,0.0
selenium_edit_page,233,3266,2560,3504,3783,22202,1707,22465,0.0
selenium_create_comment:write_comment,233,651,648,698,723,740,340,1621,0.0
selenium_create_comment:save_comment,233,617,616,627,633,644,605,665,0.0
selenium_create_comment,233,1710,1660,1921,1986,2062,1444,2890,0.0
selenium_view_blog,233,1031,996,1396,1495,1652,576,1704,0.0
selenium_view_dashboard,233,1557,1554,1575,1587,1620,1522,1639,0.0
selenium_app_custom_action:view_page,233,338,334,364,384,415,283,456,0.0
selenium_app_custom_action,233,338,334,364,384,415,283,456,0.0
selenium_log_out,233,159,157,177,184,203,137,218,0.0
