Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,65338,71688,107271,108318,109150,5498,110944,0.0
locust_view_page,883,25194,20093,64081,71480,75269,330,79711,14.000000000000002
locust_comment_page,86,3569,1958,10003,10003,10004,151,10004,15.0
locust_view_dashboard,65,55670,62141,83803,84465,85408,8349,86350,17.0
locust_view_attachments,53,4657,3769,10003,10003,10004,294,10004,23.0
locust_view_page_tree,858,2934,1723,10002,10003,10004,39,10068,11.0
locust_like_page,62,4825,3246,10005,11177,13054,61,13319,16.0
locust_search_recently_viewed,131,3057,1747,6829,10003,10004,20,10004,10.0
locust_create_page_editor,85,17357,14381,40905,50480,55220,711,56411,9.0
locust_view_blog,119,35431,24878,79498,81637,89708,2334,90413,11.0
locust_search_cql,119,12206,10918,19004,20087,22847,2283,59838,9.0
locust_create_page,75,28175,24726,70238,89391,94801,0,95481,9.0
locust_upload_attachments,70,11169,9890,18542,21461,22776,1411,23186,4.0
locust_open_editor,73,11931,10653,24857,36493,42966,0,43800,8.0
locust_edit_page,61,25487,23919,48874,76434,95439,0,96409,11.0
locust_create_blog_editor,55,19504,15226,48737,54376,56335,930,57269,7.000000000000001
locust_create_blog,52,32031,25096,66594,79961,88083,0,94005,8.0
selenium_login:open_login_page,5,894,240,2226,2846,3343,173,3467,0.0
selenium_login:login_and_view_dashboard,5,3925,2041,8579,10229,11549,832,11879,0.0
selenium_login,5,4903,2349,10840,13135,14971,1281,15430,0.0
selenium_view_page,5,1649,919,3089,3272,3418,626,3455,0.0
selenium_create_page:open_create_page_editor,5,1995,1132,4099,5029,5773,750,5959,0.0
selenium_create_page:save_created_page,5,3336,949,8336,10621,12449,642,12906,0.0
selenium_create_page,5,10089,4498,22519,27685,31818,2939,32851,0.0
selenium_edit_page:open_create_page_editor,5,11246,4496,25305,31656,36738,3616,38008,0.0
selenium_edit_page:save_edited_page,4,1754,1466,2549,2743,2897,1151,2936,0.0
selenium_edit_page,5,12667,5801,26488,32248,36856,5034,38008,0.0
selenium_create_comment:write_comment,5,7283,1149,19817,26019,30981,712,32222,0.0
selenium_create_comment:save_comment,4,613,614,617,617,617,609,617,0.0
selenium_create_comment,5,9740,2634,24369,31370,36970,2031,38370,0.0
selenium_view_blog,5,2614,1476,5205,6187,6973,900,7169,0.0
selenium_view_dashboard,5,25840,18101,46566,49761,52317,8372,52956,0.0
selenium_log_out,5,1683,278,3917,4034,4128,211,4152,0.0
