Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2331,2305,2878,3204,3683,1746,6268,0.0
locust_view_page,12762,553,568,764,965,1125,215,36120,0.0
locust_comment_page,1210,141,156,199,212,236,64,432,0.0
locust_view_blog,1829,1199,1257,1654,1830,2260,438,5168,0.0
locust_search_recently_viewed,1668,28,31,41,43,61,9,276,0.0
locust_like_page,671,46,41,70,72,90,16,119,0.0
locust_view_page_tree,12748,249,241,378,420,505,14,735,0.0
locust_upload_attachments,1193,779,585,995,1107,1335,365,49276,0.0
locust_search_cql,1665,528,518,631,676,1303,289,7861,0.0
locust_view_dashboard,1437,1599,1634,1853,1899,1986,1247,2121,0.0
locust_view_attachments,692,144,125,237,264,288,75,320,0.0
locust_create_page_editor,1446,305,236,430,443,469,162,1142,0.0
locust_create_blog_editor,700,348,274,490,504,546,193,692,0.0
locust_create_page,1440,551,439,752,772,809,325,878,0.0
locust_create_blog,698,550,433,756,768,814,313,2147,0.0
locust_open_editor,1432,202,184,267,276,302,118,1633,0.0
locust_edit_page,1427,584,469,792,811,848,348,1868,0.0
selenium_login:open_login_page,237,133,120,127,129,158,114,3001,0.0
selenium_login:login_and_view_dashboard,237,798,790,875,895,976,697,1150,0.0
selenium_login,237,1009,988,1075,1096,1183,891,4227,0.0
selenium_view_page,237,583,497,979,1016,1137,355,2309,0.0
selenium_create_page:open_create_page_editor,237,684,664,735,774,832,595,2963,0.0
selenium_create_page:save_created_page,237,618,606,666,686,730,560,1183,0.0
selenium_create_page,237,1941,1913,2003,2049,2113,1813,5293,0.0
selenium_edit_page:open_create_page_editor,237,1917,1843,2688,2737,2969,996,3018,0.0
selenium_edit_page:save_edited_page,237,938,882,1219,1287,1412,675,1549,0.0
selenium_edit_page,237,2878,2862,3748,3855,4067,1763,4630,0.0
selenium_create_comment:write_comment,237,682,649,729,758,1955,558,2247,0.0
selenium_create_comment:save_comment,237,621,618,636,640,647,601,655,0.0
selenium_create_comment,237,1774,1689,2077,2153,2956,1549,3323,0.0
selenium_view_blog,237,949,893,1342,1523,1750,556,2191,0.0
selenium_view_dashboard,237,1650,1639,1694,1713,1879,1501,1947,0.0
selenium_app_custom_action:view_page,237,385,383,414,431,480,330,669,0.0
selenium_app_custom_action,237,385,384,414,431,480,330,669,0.0
selenium_log_out,237,160,158,177,181,190,134,202,0.0
