Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_ssh,13,6357,6398,7920,8104,8187,1019,8208,8.0
jmeter_create_repo_shallow_copy,18,37,30,40,59,132,13,150,0.0
jmeter_git_add,1029,2,2,3,3,9,1,19,0.0
jmeter_git_commit,1029,5,5,6,6,12,3,18,0.0
jmeter_git_push_via_ssh,801,329,282,512,613,687,75,782,0.0
jmeter_git_fetch_via_ssh,800,295,247,467,512,622,45,711,0.0
jmeter_clone_repo_via_http,5,6404,6384,7133,7310,7452,5392,7487,0.0
jmeter_git_push_via_http,228,299,269,408,461,613,222,648,0.0
jmeter_git_fetch_via_http,228,198,128,372,409,466,99,616,0.0
selenium_login:open_login_page,147,152,147,156,160,250,141,421,0.0
selenium_login:login_get_started,147,318,308,362,380,415,288,447,0.0
selenium_login,147,559,544,604,636,660,519,951,0.0
selenium_view_dashboard,147,1090,1129,1364,1421,1529,363,1608,0.0
selenium_create_pull_request:create_pull_request,147,6358,6305,6676,6923,7179,5858,7350,0.0
selenium_create_pull_request:merge_pull_request,147,1425,1276,1790,1801,2124,1266,2324,0.0
selenium_create_pull_request,147,8812,8702,9275,9357,10163,8144,10710,0.0
selenium_view_projects,147,413,412,446,458,601,326,722,0.0
selenium_view_project_repositories,147,253,244,266,280,546,232,742,0.0
selenium_view_repository,147,372,326,539,666,751,312,791,0.0
selenium_view_list_pull_requests,147,351,346,386,411,443,308,459,0.0
selenium_view_pull_request_overview,147,812,1034,1178,1232,1337,436,1392,0.0
selenium_view_pull_request_diff,147,618,500,887,904,960,432,979,0.0
selenium_view_pull_request_commits,147,910,904,952,975,1026,414,1297,0.0
selenium_comment_pull_request_file,147,1537,1533,1673,1714,1791,1350,1856,0.0
selenium_comment_pull_request_overview,147,1061,1079,1117,1139,1296,363,1319,0.0
selenium_view_branches,147,839,831,884,894,927,799,932,0.0
selenium_view_commits,147,1117,1103,1187,1202,1278,1057,1307,0.0
selenium_app_custom_action:view_snippets_page,147,630,608,698,724,785,577,979,0.0
selenium_app_custom_action,147,630,608,698,724,785,578,979,0.0
selenium_log_out,147,156,149,175,197,246,141,299,0.0
