Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,1562,1555,1629,1645,1694,1473,1769,0.0
locust_view_dashboard,499,1164,1158,1228,1258,1284,1078,1317,0.0
locust_view_page:open_page,4693,356,317,563,623,690,250,804,0.0
locust_upload_attachment,451,418,368,615,654,787,245,844,0.0
locust_comment_page,424,66,64,76,81,94,52,127,0.0
locust_create_blog:blog_editor,271,221,218,242,262,290,191,304,0.0
locust_view_blog,705,620,568,914,1101,1162,285,1268,0.0
locust_create_and_edit_page:create_page_editor,510,199,195,217,231,275,163,314,0.0
locust_view_page:view_page_tree,4646,39,37,54,61,81,11,150,0.0
locust_create_blog:feel_and_publish,268,350,347,378,390,429,306,438,0.0
locust_create_and_edit_page:create_page,505,343,338,374,394,437,295,478,0.0
locust_search_cql:recently_viewed,618,16,16,18,19,22,12,73,0.0
locust_create_and_edit_page:open_editor,497,148,143,166,179,217,122,230,0.0
locust_view_attachment,258,96,85,138,149,166,67,190,0.0
locust_like_page,309,28,29,34,35,41,16,83,0.0
locust_search_cql:search_results,613,426,435,501,530,816,3,2267,0.0
locust_create_and_edit_page:edit_page,492,359,354,390,406,449,315,485,0.0
selenium_login:open_login_page,297,107,104,111,113,118,97,682,0.0
selenium_login:login_and_view_dashboard,297,635,632,681,697,739,560,772,0.0
selenium_login,297,827,821,872,889,936,744,1452,0.0
selenium_view_page,297,481,435,703,752,841,323,1180,0.0
selenium_create_page:open_create_page_editor,297,908,900,987,1017,1059,628,1910,0.0
selenium_create_page:save_created_page,297,625,621,658,671,711,575,733,0.0
selenium_create_page,297,1702,1677,1800,2023,2151,1457,2624,0.0
selenium_edit_page:open_create_page_editor,297,1738,1680,2633,2693,2804,1007,2982,0.0
selenium_edit_page:save_edited_page,297,821,789,940,1041,1126,602,1589,0.0
selenium_edit_page,297,2583,2581,3421,3546,3777,1722,4087,0.0
selenium_create_comment:write_comment,297,595,654,820,842,873,284,915,0.0
selenium_create_comment:save_comment,297,570,625,662,668,681,140,688,0.0
selenium_create_comment,297,1627,1701,1975,2080,2205,832,2243,0.0
selenium_view_blog,297,625,569,1069,1125,1206,407,1599,0.0
selenium_view_dashboard,297,1051,1027,1136,1158,1207,974,1268,0.0
selenium_log_out,297,101,100,108,110,123,92,154,0.0
