Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_http,7,8082,8662,9266,9421,9545,6744,9576,0.0
jmeter_create_repo_shallow_copy,12,36,28,34,72,109,27,118,0.0
jmeter_git_add,456,2,2,3,3,5,1,11,0.0
jmeter_git_commit,456,5,5,6,6,10,4,15,0.0
jmeter_git_push_via_http,325,461,436,685,743,845,209,892,1.0
jmeter_git_fetch_via_http,323,305,211,690,857,1235,94,1444,0.0
jmeter_clone_repo_via_ssh,5,8998,9233,9636,9644,9650,7997,9651,0.0
jmeter_git_push_via_ssh,131,457,442,625,652,691,263,721,0.0
jmeter_git_fetch_via_ssh,131,668,770,1013,1098,1391,189,1453,0.0
selenium_login:open_login_page,155,148,145,151,154,173,139,435,0.0
selenium_login:login_get_started,155,308,306,319,325,350,282,405,0.0
selenium_login,155,549,544,559,572,632,513,935,0.0
selenium_view_dashboard,155,912,1031,1119,1203,1882,312,2572,0.0
selenium_create_pull_request:create_pull_request,155,6363,6358,6551,6769,7146,5858,7202,0.0
selenium_create_pull_request:merge_pull_request,155,1452,1284,1799,1808,2565,764,2829,0.0
selenium_create_pull_request,155,8852,8722,9286,9725,10547,7793,10858,0.0
selenium_view_projects,155,411,416,439,461,523,335,659,0.0
selenium_view_project_repositories,155,251,250,258,262,294,234,317,0.0
selenium_view_repository,155,364,325,447,660,670,306,813,0.0
selenium_view_list_pull_requests,155,337,329,371,387,420,306,434,0.0
selenium_view_pull_request_overview,155,1024,1114,1150,1157,1186,423,1198,0.0
selenium_view_pull_request_diff,155,491,452,525,866,948,426,966,0.0
selenium_view_pull_request_commits,155,881,893,926,951,985,393,1020,0.0
selenium_comment_pull_request_file,155,1198,1198,1272,1300,1387,1051,1444,0.0
selenium_comment_pull_request_overview,155,1029,1101,1152,1158,1164,449,1196,0.0
selenium_view_branches,155,839,831,879,891,914,805,946,0.0
selenium_view_commits,155,1099,1081,1159,1182,1252,1036,1314,0.0
selenium_log_out,155,152,150,156,163,196,144,204,0.0
