Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2203,2231,2555,2662,4063,1560,7270,0.0
locust_view_page,12725,602,547,777,943,1085,243,79266,0.0
locust_create_page_editor,1394,312,272,412,422,450,186,1798,0.0
locust_view_blog,1896,1309,1159,1580,1804,2227,407,74703,0.0
locust_view_page_tree,12713,206,195,297,337,421,18,1041,0.0
locust_search_recently_viewed,1698,28,31,39,42,58,10,244,0.0
locust_create_page,1393,567,511,717,734,779,377,2969,0.0
locust_create_blog_editor,758,356,408,457,470,490,221,922,0.0
locust_upload_attachments,1211,898,598,982,1099,5921,409,83492,0.0
locust_comment_page,1202,139,144,178,192,214,87,241,0.0
locust_like_page,687,47,43,69,73,85,14,106,0.0
locust_view_attachments,695,142,121,229,251,285,90,311,0.0
locust_open_editor,1387,206,206,260,269,291,132,432,0.0
locust_search_cql,1696,521,497,606,655,2068,280,5875,0.0
locust_create_blog,756,563,616,705,725,772,373,933,0.0
locust_edit_page,1377,599,561,745,762,789,406,948,0.0
locust_view_dashboard,1388,1545,1646,1810,1843,1889,1113,2542,0.0
selenium_login:open_login_page,253,109,94,107,125,161,85,2970,0.0
selenium_login:login_and_view_dashboard,253,690,684,740,771,836,609,1126,0.0
selenium_login,253,885,867,933,951,1057,774,4048,0.0
selenium_view_page,253,929,622,749,809,893,350,77230,0.0
selenium_create_page:open_create_page_editor,253,691,679,758,775,810,587,2785,0.0
selenium_create_page:save_created_page,253,642,631,681,691,730,585,2191,0.0
selenium_create_page,253,1966,1948,2038,2057,2081,1816,6167,0.0
selenium_edit_page:open_create_page_editor,253,1754,1734,2573,2636,2785,958,3950,0.0
selenium_edit_page:save_edited_page,253,881,804,1097,1287,1468,625,1727,0.0
selenium_edit_page,253,2656,2709,3534,3636,3848,1666,5698,0.0
selenium_create_comment:write_comment,253,517,373,775,809,1266,232,1726,0.0
selenium_create_comment:save_comment,253,619,619,631,642,650,191,660,0.0
selenium_create_comment,253,1619,1602,1957,2062,2414,1090,2838,0.0
selenium_view_blog,253,949,794,1339,1461,2203,500,15914,0.0
selenium_view_dashboard,253,1036,1031,1074,1084,1124,988,1202,0.0
selenium_app_custom_action:view_page,253,442,445,494,511,568,338,631,0.0
selenium_app_custom_action,253,442,445,494,511,568,338,631,0.0
selenium_log_out,253,126,118,164,172,178,91,202,0.0
