Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_ssh,13,8026,7882,10661,10898,11117,4677,11172,0.0
jmeter_create_repo_shallow_copy,20,28,28,30,30,32,24,33,0.0
jmeter_git_add,14966,3,3,3,4,5,1,32,0.0
jmeter_git_commit,14966,5,5,6,7,9,3,38,0.0
jmeter_git_push_via_ssh,9684,522,542,714,760,870,233,1449,0.0
jmeter_git_fetch_via_ssh,9682,301,256,429,592,997,145,2089,0.0
jmeter_clone_repo_via_http,7,8070,7401,10537,10819,11044,5046,11100,0.0
jmeter_git_push_via_http,5282,554,577,797,857,986,219,1492,0.0
jmeter_git_fetch_via_http,5282,264,252,386,463,1088,89,1915,0.0
selenium_login:open_login_page,151,159,154,169,178,218,145,446,0.0
selenium_login:login_get_started,151,331,325,371,390,470,267,677,0.0
selenium_login,151,585,576,636,650,726,516,1216,0.0
selenium_view_dashboard,151,741,309,2180,2538,2837,248,2963,0.0
selenium_create_pull_request:create_pull_request,151,6971,6854,7585,7942,8757,6118,12906,0.0
selenium_create_pull_request:merge_pull_request,151,1866,1795,2817,2826,2850,1276,3329,0.0
selenium_create_pull_request,151,9891,9682,10959,11498,12144,8456,15749,0.0
selenium_view_projects,151,444,438,486,514,608,345,1266,0.0
selenium_view_project_repositories,151,272,256,292,320,684,235,748,0.0
selenium_view_repository,151,472,421,733,810,956,326,1010,0.0
selenium_view_list_pull_requests,151,369,355,414,442,537,311,1060,0.0
selenium_view_pull_request_overview,151,609,597,754,828,930,433,1040,0.0
selenium_view_pull_request_diff,151,549,525,724,774,864,398,881,0.0
selenium_view_pull_request_commits,151,987,958,1038,1167,1500,416,1533,0.0
selenium_comment_pull_request_file,151,1208,1195,1317,1473,1616,1017,1653,0.0
selenium_comment_pull_request_overview,151,662,637,931,1042,1074,357,1126,0.0
selenium_view_branches,151,830,825,860,880,915,790,937,0.0
selenium_view_commits,151,1229,1214,1317,1348,1692,1094,2057,0.0
selenium_log_out,151,163,159,171,180,230,147,427,0.0
