Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2399,2385,2557,2643,2883,2206,2941,0.0
locust_search_cql:recently_viewed,213,33,33,38,39,48,26,66,0.0
locust_view_page:open_page,1561,846,537,1157,1855,6056,435,27888,0.0
locust_upload_attachment,148,4956,4797,12128,19938,26398,367,33278,0.0
locust_create_and_edit_page:create_page_editor,173,352,347,370,392,415,325,443,0.0
locust_view_blog,222,2040,1140,2566,6070,18736,947,21406,0.0
locust_comment_page,160,142,136,181,200,248,105,266,0.0
locust_view_attachment,91,122,110,164,180,202,88,211,0.0
locust_search_cql:search_results,210,481,449,564,642,1944,266,3607,0.0
locust_view_page:view_page_tree,1540,123,120,166,179,219,40,291,0.0
locust_create_blog:blog_editor,93,383,369,398,403,487,349,1361,0.0
locust_app_specific_action,159,13,12,13,14,43,11,92,100.0
locust_create_and_edit_page:create_page,171,593,584,635,652,679,549,771,0.0
locust_like_page,92,47,51,57,61,82,31,108,0.0
locust_create_blog:feel_and_publish,93,597,590,643,658,700,542,701,0.0
locust_create_and_edit_page:open_editor,166,216,212,230,243,271,197,297,0.0
locust_view_dashboard,170,1783,1753,1932,2072,2210,1598,2328,0.0
locust_create_and_edit_page:edit_page,157,618,611,660,684,718,569,784,0.0
selenium_login:open_login_page,35,132,124,129,148,274,120,321,0.0
selenium_login:login_and_view_dashboard,35,827,819,905,930,1008,742,1024,0.0
selenium_login,35,1043,1034,1128,1196,1231,943,1237,0.0
selenium_view_page,35,678,435,977,1008,3912,357,5394,0.0
selenium_create_page:open_create_page_editor,35,729,724,783,808,860,618,861,0.0
selenium_create_page:save_created_page,35,656,651,708,718,723,602,725,0.0
selenium_create_page,35,2026,2013,2100,2127,2181,1919,2191,0.0
selenium_edit_page:open_create_page_editor,35,2344,1571,2704,3177,15484,1006,21819,0.0
selenium_edit_page:save_edited_page,35,904,752,1223,1371,2142,619,2434,0.0
selenium_edit_page,35,3271,2359,3666,4178,17454,1782,24280,0.0
selenium_create_comment:write_comment,35,669,678,722,764,842,327,849,0.0
selenium_create_comment:save_comment,35,628,624,641,643,644,609,644,0.0
selenium_create_comment,35,1825,1706,2241,2278,2365,1407,2379,0.0
selenium_view_blog,35,1099,651,1489,2851,6827,521,7268,0.0
selenium_view_dashboard,34,1726,1704,1807,1826,1889,1660,1907,0.0
selenium_app_custom_action:view_page,34,3043,3068,3353,3362,3473,2427,3527,0.0
selenium_app_custom_action,34,3043,3068,3353,3363,3473,2427,3527,0.0
selenium_log_out,34,204,196,209,216,339,191,395,0.0
