Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,4394,4282,4870,5100,5441,3969,5518,0.0
locust_view_page,12406,1139,1081,1425,1528,1658,999,2751,0.0
locust_like_page,659,148,148,152,155,170,134,203,0.0
locust_search_recently_viewed,1575,74,74,76,78,90,69,136,0.0
locust_view_attachments,715,148,136,185,196,216,120,233,0.0
locust_view_page_tree,12392,99,97,114,121,145,70,446,0.0
locust_upload_attachments,1152,988,824,1355,1466,2476,690,8978,0.0
locust_search_cql,1574,647,614,744,838,1747,381,6936,0.0
locust_create_page_editor,1382,786,782,808,818,841,749,1997,0.0
locust_view_blog,1806,1474,1394,1706,2144,2346,1115,2569,0.0
locust_comment_page,1217,115,112,121,126,142,103,869,0.0
locust_view_dashboard,1351,3619,3555,3976,4126,4406,3240,4786,0.0
locust_app_specific_action,1345,709,693,794,841,954,612,1179,0.0
locust_create_blog_editor,667,803,800,826,836,851,766,909,0.0
locust_create_page,1380,1349,1344,1386,1401,1434,1287,2070,0.0
locust_create_blog,664,1349,1344,1381,1394,1434,1294,2495,0.0
locust_open_editor,1374,620,616,636,644,668,590,1903,0.0
locust_edit_page,1368,1362,1358,1398,1411,1449,1303,1518,0.0
selenium_login:open_login_page,189,174,164,212,227,253,153,762,0.0
selenium_login:login_and_view_dashboard,189,877,862,963,998,1093,788,1138,0.0
selenium_login,189,1141,1127,1220,1256,1355,1035,1970,0.0
selenium_view_page,189,499,417,822,865,1079,333,1316,0.0
selenium_create_page:open_create_page_editor,189,929,924,961,988,1074,814,1948,0.0
selenium_create_page:save_created_page,189,709,663,849,1125,1161,571,1191,0.0
selenium_create_page,189,2307,2253,2656,2699,2844,2107,2941,0.0
selenium_edit_page:open_create_page_editor,189,2391,2378,3334,3396,3578,1309,3670,0.0
selenium_edit_page:save_edited_page,189,975,917,1268,1325,1423,690,1436,0.0
selenium_edit_page,189,3390,3549,4345,4600,4729,2023,4822,0.0
selenium_create_comment:write_comment,189,921,828,1311,1366,1983,758,1999,0.0
selenium_create_comment:save_comment,189,630,630,642,645,650,591,654,0.0
selenium_create_comment,189,2002,1857,2393,2521,3025,1722,3144,0.0
selenium_view_blog,189,683,593,947,1306,1481,355,1576,0.0
selenium_view_dashboard,189,3109,3185,3363,3442,3775,2756,3801,0.0
selenium_app_custom_action:view_page,189,894,871,925,949,1350,826,1369,0.0
selenium_app_custom_action,189,894,871,925,949,1350,826,1369,0.0
selenium_log_out,189,229,222,234,269,320,210,675,0.0
