Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,1858,1818,2073,2171,2236,1648,2475,0.0
locust_search_recently_viewed,412,12,12,16,18,24,7,62,0.0
locust_view_page,3409,331,282,524,655,755,182,1210,0.0
locust_view_attachments,187,89,79,126,137,158,68,176,0.0
locust_view_dashboard,398,1435,1408,1633,1706,1971,1198,2092,0.0
locust_create_page_editor,350,166,160,186,200,224,137,613,0.0
locust_like_page,186,24,24,29,30,42,13,55,0.0
locust_search_cql,410,626,574,777,956,1643,288,6678,0.0
locust_create_blog_editor,206,182,178,205,218,246,149,307,0.0
locust_view_page_tree,3397,68,69,98,109,133,9,239,0.0
locust_comment_page,314,47,46,55,58,69,37,98,0.0
locust_upload_attachments,323,487,374,793,927,1233,287,2573,0.0
locust_create_page,349,297,291,331,348,397,250,837,0.0
locust_view_blog,466,567,504,704,1193,1375,372,1593,0.0
locust_create_blog,205,295,290,328,337,362,249,481,0.0
locust_open_editor,344,129,125,152,161,178,105,201,0.0
locust_edit_page,337,310,303,344,361,407,262,927,0.0
selenium_login:open_login_page,64,96,92,99,105,200,85,275,0.0
selenium_login:login_and_view_dashboard,64,688,666,794,868,940,591,953,0.0
selenium_login,64,863,834,1013,1039,1115,758,1131,0.0
selenium_view_page,64,452,388,703,770,910,287,986,0.0
selenium_create_page:open_create_page_editor,64,666,666,720,733,745,547,759,0.0
selenium_create_page:save_created_page,64,599,596,609,622,643,563,654,0.0
selenium_create_page,64,1898,1892,1953,1966,1991,1736,2029,0.0
selenium_edit_page:open_create_page_editor,64,1777,1649,2565,2597,2685,957,2764,0.0
selenium_edit_page:save_edited_page,64,741,700,894,915,1062,628,1076,0.0
selenium_edit_page,64,2539,2556,3283,3399,3500,1610,3610,0.0
selenium_create_comment:write_comment,64,562,682,754,767,825,264,841,0.0
selenium_create_comment:save_comment,64,429,610,649,653,657,121,658,0.0
selenium_create_comment,64,1407,1362,1784,1927,2117,747,2188,0.0
selenium_view_blog,64,593,542,692,1225,1349,381,1375,0.0
selenium_view_dashboard,64,1078,1047,1188,1225,1249,999,1277,0.0
selenium_app_custom_action:view_page,64,395,386,444,457,497,311,553,0.0
selenium_app_custom_action,64,395,386,444,457,497,311,553,0.0
selenium_log_out,64,123,116,155,158,166,82,176,0.0
