Action,without app,with app
locust_login_and_view_dashboard,2599,2565
locust_view_page:open_page,1030,1013
locust_upload_attachment,965,983
locust_search_cql:recently_viewed,37,38
locust_create_and_edit_page:create_page_editor,378,379
locust_view_blog,1768,1811
locust_comment_page,177,183
locust_view_page:view_page_tree,180,180
locust_search_cql:search_results,580,572
locust_view_dashboard,1967,1969
locust_create_and_edit_page:create_page,637,635
locust_like_page,56,56
locust_create_and_edit_page:open_editor,237,237
locust_view_attachment,188,177
locust_create_and_edit_page:edit_page,660,660
locust_create_blog:blog_editor,401,400
locust_create_blog:feel_and_publish,624,632
selenium_login:open_login_page,135,134
selenium_login:login_and_view_dashboard,969,951
selenium_login,1182,1167
selenium_view_page,957,932
selenium_create_page:open_create_page_editor,827,828
selenium_create_page:save_created_page,697,692
selenium_create_page,2130,2137
selenium_edit_page:open_create_page_editor,2636,2682
selenium_edit_page:save_edited_page,1242,1219
selenium_edit_page,3562,3572
selenium_create_comment:write_comment,757,766
selenium_create_comment:save_comment,642,644
selenium_create_comment,2225,2165
selenium_view_blog,843,1385
selenium_view_dashboard,1862,1852
selenium_log_out,135,134
