Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_http,9,8041,7943,8904,9963,10810,6452,11022,0.0
jmeter_create_repo_shallow_copy,20,31,31,34,35,39,28,40,0.0
jmeter_git_add,14966,3,3,4,4,8,2,55,0.0
jmeter_git_commit,14966,6,5,7,8,11,3,41,0.0
jmeter_git_push_via_http,6650,322,299,405,479,625,235,1878,0.0
jmeter_git_fetch_via_http,6648,169,128,206,538,828,99,1584,0.0
jmeter_clone_repo_via_ssh,11,8339,8023,9814,10463,10982,6742,11112,0.0
jmeter_git_push_via_ssh,8316,378,348,507,567,662,232,1720,0.0
jmeter_git_fetch_via_ssh,8316,343,239,831,1027,1317,137,1653,0.0
selenium_login:open_login_page,124,173,158,237,271,348,149,429,0.0
selenium_login:login_get_started,124,336,330,369,378,418,281,675,0.0
selenium_login,124,607,587,668,713,840,524,1212,0.0
selenium_view_dashboard,124,1083,898,1736,1815,1957,630,2143,0.0
selenium_create_pull_request:create_pull_request,124,7278,7262,7617,7728,7913,6276,13300,0.0
selenium_create_pull_request:merge_pull_request,124,2242,2330,2832,2839,2856,1287,2865,0.0
selenium_create_pull_request,124,10609,10694,11264,11423,11739,8969,15685,0.0
selenium_view_projects,124,464,456,487,503,556,370,1040,0.0
selenium_view_project_repositories,124,281,272,296,305,521,246,772,0.0
selenium_view_repository,124,423,392,476,772,871,339,951,0.0
selenium_view_list_pull_requests,124,412,405,464,475,500,344,958,0.0
selenium_view_pull_request_overview,124,691,586,1291,1348,1388,488,1489,0.0
selenium_view_pull_request_diff,124,863,978,1049,1082,1138,499,1141,0.0
selenium_view_pull_request_commits,124,1220,1062,1564,1583,1613,926,1632,0.0
selenium_comment_pull_request_file,124,2256,2234,2497,2604,2699,1885,2712,0.0
selenium_comment_pull_request_overview,124,1221,1240,1296,1312,1416,360,1448,0.0
selenium_view_branches,124,890,884,916,937,1035,837,1446,0.0
selenium_view_commits,124,1254,1237,1330,1350,1624,1140,1769,0.0
selenium_app_custom_action:view_snippets_page,124,714,690,773,822,918,625,1871,0.0
selenium_app_custom_action,124,714,691,773,822,918,625,1871,0.0
selenium_log_out,124,164,161,179,190,205,148,247,0.0
