Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_clone_repo_via_http,10,7680,7538,9470,9496,9518,5623,9523,0.0
jmeter_create_repo_shallow_copy,20,28,27,31,34,36,24,36,0.0
jmeter_git_add,14962,3,3,3,4,6,1,48,0.0
jmeter_git_commit,14962,5,5,6,7,10,3,52,0.0
jmeter_git_push_via_http,7503,519,514,761,833,963,223,1904,0.0
jmeter_git_fetch_via_http,7503,265,218,411,623,1207,92,2186,0.0
jmeter_clone_repo_via_ssh,10,8898,8626,10348,10539,10691,7096,10729,0.0
jmeter_git_push_via_ssh,7459,512,514,698,752,861,223,1324,0.0
jmeter_git_fetch_via_ssh,7459,432,256,1059,1310,1865,157,2682,0.0
selenium_login:open_login_page,131,157,150,164,196,246,141,499,0.0
selenium_login:login_get_started,131,312,305,358,376,410,267,422,0.0
selenium_login,131,560,547,610,639,706,503,965,0.0
selenium_view_dashboard,131,1502,1405,2553,2904,3187,331,3434,0.0
selenium_create_pull_request:create_pull_request,131,7257,7290,7938,8068,8248,6019,8387,0.0
selenium_create_pull_request:merge_pull_request,131,2621,2801,3324,3593,3851,1267,3862,0.0
selenium_create_pull_request,131,10928,11107,12230,12430,12896,8475,13041,0.0
selenium_view_projects,131,439,433,485,494,542,345,603,0.0
selenium_view_project_repositories,131,278,260,311,339,758,230,763,0.0
selenium_view_repository,131,434,400,516,732,877,305,1238,0.0
selenium_view_list_pull_requests,131,379,375,434,456,482,317,498,0.0
selenium_view_pull_request_overview,131,751,593,1225,1253,1299,455,1336,0.0
selenium_view_pull_request_diff,131,735,862,931,950,972,422,1008,0.0
selenium_view_pull_request_commits,131,1188,1017,1501,1548,1588,886,1630,0.0
selenium_comment_pull_request_file,131,1382,1359,1524,1596,2002,1118,2074,0.0
selenium_comment_pull_request_overview,131,1100,1116,1151,1168,1236,336,1259,0.0
selenium_view_branches,131,855,840,893,926,1205,805,1357,0.0
selenium_view_commits,131,1201,1186,1302,1340,1413,1069,1467,0.0
selenium_log_out,131,159,154,168,196,241,140,259,0.0
