Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,1195,1248,1550,1576,1680,780,3479,0.0
locust_search_cql:recently_viewed,110,33,27,46,49,53,11,184,0.0
locust_create_blog:blog_editor,41,63,67,76,77,110,39,111,100.0
locust_view_blog,139,923,862,1278,1443,1723,379,1783,100.0
locust_view_page:open_page,722,648,644,935,1119,1254,303,1386,0.0
locust_create_and_edit_page:create_page_editor,81,56,52,77,81,92,33,118,100.0
locust_search_cql:search_results,108,397,397,448,472,532,227,1133,0.0
locust_create_blog:feel_and_publish,41,0,0,0,0,0,0,0,100.0
locust_view_dashboard,97,989,784,1319,1342,1396,673,1427,0.0
locust_view_page:view_page_tree,711,168,158,280,310,385,19,453,0.0
locust_comment_page,64,21,17,20,21,225,8,238,100.0
locust_create_and_edit_page:create_page,80,0,0,0,0,0,0,0,100.0
locust_upload_attachment,74,696,656,1018,1152,1206,418,1270,0.0
locust_like_page,50,67,65,87,91,158,27,218,0.0
locust_create_and_edit_page:open_editor,69,0,0,0,0,0,0,0,100.0
locust_create_and_edit_page:edit_page,57,0,0,0,0,0,0,0,100.0
locust_view_attachment,37,179,164,279,319,332,94,338,0.0
locust_app_specific_action,90,9379,9545,11413,11569,12595,4113,18461,0.0
selenium_login:open_login_page,5,498,145,1205,1545,1817,138,1885,0.0
selenium_login:login_and_view_dashboard,5,460,398,603,657,700,359,711,0.0
selenium_login,5,1057,662,1877,2281,2603,614,2684,0.0
selenium_view_page,5,1061,794,1703,1718,1729,532,1732,0.0
selenium_create_page:open_create_page_editor,4,20311,20302,20345,20353,20360,20279,20362,0.0
selenium_create_page,4,20311,20302,20345,20353,20360,20279,20362,0.0
selenium_edit_page:open_create_page_editor,4,20392,20394,20660,20662,20664,20116,20664,0.0
selenium_edit_page,4,20392,20394,20660,20662,20664,20117,20664,0.0
selenium_create_comment:write_comment,4,20312,20312,20321,20322,20323,20301,20323,0.0
selenium_create_comment,4,20843,20842,20882,20890,20896,20791,20898,0.0
selenium_view_blog,4,1378,1190,1719,1831,1921,1187,1944,0.0
selenium_view_dashboard,4,1216,1218,1220,1221,1221,1207,1221,0.0
selenium_app_custom_action:view_page,4,12882,11926,16204,17091,17801,9699,17978,0.0
selenium_app_custom_action,4,12882,11926,16204,17091,17801,9699,17978,0.0
selenium_log_out,4,240,237,252,255,257,227,258,0.0
