Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2415,2390,2599,2649,2724,2233,2779,0.0
locust_view_page:open_page,12819,617,540,1030,1115,1256,414,2240,0.0
locust_upload_attachment,1211,604,525,965,1103,1341,355,1769,0.0
locust_search_cql:recently_viewed,1708,34,33,37,40,88,25,124,0.0
locust_create_and_edit_page:create_page_editor,1387,355,348,378,397,439,326,1603,0.0
locust_view_blog,1786,1224,1140,1768,1924,2110,959,2910,0.0
locust_comment_page,1242,139,132,177,191,233,101,303,0.0
locust_view_page:view_page_tree,12813,134,135,180,195,230,31,1489,0.0
locust_search_cql:search_results,1704,496,469,580,652,1711,273,6829,0.0
locust_view_dashboard,1464,1818,1793,1967,2025,2183,1611,3158,0.0
locust_create_and_edit_page:create_page,1385,597,589,637,662,747,541,1124,0.0
locust_like_page,706,47,51,56,58,88,31,127,0.0
locust_create_and_edit_page:open_editor,1381,222,215,237,254,298,195,1514,0.0
locust_view_attachment,685,129,115,188,203,232,84,371,0.0
locust_create_and_edit_page:edit_page,1368,620,611,660,692,786,567,1211,0.0
locust_create_blog:blog_editor,689,378,372,401,423,474,351,532,0.0
locust_create_blog:feel_and_publish,688,593,581,624,660,751,536,1849,0.0
selenium_login:open_login_page,248,133,127,135,138,167,119,1278,0.0
selenium_login:login_and_view_dashboard,248,866,862,969,1003,1038,745,1099,0.0
selenium_login,248,1081,1071,1182,1222,1278,951,2310,0.0
selenium_view_page,248,527,459,957,989,1086,327,1166,0.0
selenium_create_page:open_create_page_editor,248,726,721,827,840,866,561,895,0.0
selenium_create_page:save_created_page,248,645,637,697,715,728,577,742,0.0
selenium_create_page,248,2023,2018,2130,2152,2442,1807,2666,0.0
selenium_edit_page:open_create_page_editor,248,1824,1641,2636,2762,2875,995,2961,0.0
selenium_edit_page:save_edited_page,248,892,778,1242,1312,1384,638,1652,0.0
selenium_edit_page,248,2739,2718,3562,3812,4077,1729,4179,0.0
selenium_create_comment:write_comment,248,675,684,757,781,829,336,884,0.0
selenium_create_comment:save_comment,248,628,626,642,647,654,611,666,0.0
selenium_create_comment,248,1808,1738,2225,2281,2395,1438,2586,0.0
selenium_view_blog,248,735,673,843,1411,1557,470,1604,0.0
selenium_view_dashboard,248,1749,1720,1862,1899,1985,1442,2877,0.0
selenium_log_out,248,129,127,135,139,165,121,201,0.0
