Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2076,2260,2449,2495,2528,1664,2698,0.0
locust_view_page:open_page,1176,620,626,874,1068,1191,291,1266,0.0
locust_view_blog,158,1302,1219,1734,2152,2238,412,2440,0.0
locust_view_attachment,60,133,131,150,160,260,93,278,0.0
locust_create_and_edit_page:create_page_editor,153,357,292,486,494,541,215,554,0.0
locust_app_specific_action,136,7620,7942,10343,10952,11156,1525,11416,0.0
locust_view_dashboard,139,1511,1696,1804,1820,1867,1144,1880,0.0
locust_view_page:view_page_tree,1148,125,115,194,222,279,22,444,0.0
locust_comment_page,102,160,156,219,222,239,95,267,0.0
locust_search_cql:recently_viewed,160,37,42,51,54,57,18,58,0.0
locust_create_and_edit_page:create_page,147,632,495,843,866,891,421,983,0.0
locust_upload_attachment,111,671,598,1041,1072,1270,413,1374,0.0
locust_create_blog:blog_editor,58,401,296,570,589,616,255,625,0.0
locust_like_page,69,61,53,85,87,89,28,89,0.0
locust_create_and_edit_page:open_editor,137,240,239,307,317,330,146,382,0.0
locust_search_cql:search_results,156,418,402,450,482,1402,219,2413,0.0
locust_create_blog:feel_and_publish,56,619,485,842,862,910,411,941,0.0
locust_create_and_edit_page:edit_page,130,683,591,879,895,946,444,991,0.0
selenium_login:open_login_page,29,151,140,147,160,367,134,446,0.0
selenium_login:login_and_view_dashboard,29,842,834,926,946,971,751,977,0.0
selenium_login,29,1083,1072,1164,1192,1322,977,1370,0.0
selenium_view_page,29,670,575,1068,1124,1264,445,1307,0.0
selenium_create_page:open_create_page_editor,29,788,738,873,955,1639,634,1903,0.0
selenium_create_page:save_created_page,29,634,628,671,676,691,575,696,0.0
selenium_create_page,29,2097,2029,2213,2255,3299,1872,3699,0.0
selenium_edit_page:open_create_page_editor,29,2111,2228,2747,2818,2980,1061,3033,0.0
selenium_edit_page:save_edited_page,29,1050,969,1371,1450,1601,810,1656,0.0
selenium_edit_page,29,3186,3131,4173,4270,4415,1995,4459,0.0
selenium_create_comment:write_comment,29,647,657,690,723,747,558,752,0.0
selenium_create_comment:save_comment,29,630,628,644,652,658,612,659,0.0
selenium_create_comment,29,1779,1722,2098,2123,2140,1576,2141,0.0
selenium_view_blog,29,1060,996,1285,1619,1925,717,2033,0.0
selenium_view_dashboard,29,1661,1661,1682,1687,1718,1628,1729,0.0
selenium_app_custom_action:view_page,29,9501,9878,12113,12182,12311,4532,12350,0.0
selenium_app_custom_action,29,9501,9878,12113,12182,12311,4532,12350,0.0
selenium_log_out,29,229,224,241,251,258,216,260,0.0
