Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,1695,1692,1856,1901,2016,1386,2183,0.0
locust_view_page:open_page,12364,384,325,711,763,855,215,1196,0.0
locust_app_specific_action,1379,1324,1303,1905,2051,2333,394,2797,0.0
locust_view_page:view_page_tree,12351,36,34,51,58,80,9,286,0.0
locust_view_attachment,682,94,82,137,154,178,68,242,0.0
locust_upload_attachment,1143,458,375,756,825,1019,273,1193,0.0
locust_create_blog:blog_editor,693,225,222,246,258,307,196,378,0.0
locust_view_blog,1820,693,640,868,1246,1376,308,1470,0.0
locust_create_and_edit_page:create_page_editor,1373,204,199,227,246,281,171,452,0.0
locust_search_cql:recently_viewed,1620,16,16,18,20,36,8,226,0.0
locust_create_blog:feel_and_publish,692,365,359,406,420,467,309,611,0.0
locust_view_dashboard,1338,1203,1184,1304,1348,1478,951,1741,0.0
locust_create_and_edit_page:create_page,1373,355,350,390,408,448,303,613,0.0
locust_search_cql:search_results,1617,388,359,443,506,1310,202,7087,0.0
locust_create_and_edit_page:open_editor,1360,151,148,168,177,224,126,385,0.0
locust_like_page,711,34,33,38,41,74,17,141,0.0
locust_create_and_edit_page:edit_page,1355,373,368,407,426,472,319,637,0.0
locust_comment_page,1171,63,61,69,72,109,50,204,0.0
selenium_login:open_login_page,215,111,108,116,121,179,102,343,0.0
selenium_login:login_and_view_dashboard,215,733,725,811,833,868,631,898,0.0
selenium_login,215,933,922,1006,1031,1091,822,1125,0.0
selenium_view_page,215,514,417,824,876,1248,314,1340,0.0
selenium_create_page:open_create_page_editor,215,702,696,761,778,834,556,1635,0.0
selenium_create_page:save_created_page,215,617,611,642,648,692,572,709,0.0
selenium_create_page,215,1972,1969,2044,2070,2151,1795,2859,0.0
selenium_edit_page:open_create_page_editor,215,2025,2123,2660,2715,2872,957,3194,0.0
selenium_edit_page:save_edited_page,215,829,761,1074,1146,1222,601,1347,0.0
selenium_edit_page,215,2879,2949,3544,3712,3925,1705,4264,0.0
selenium_create_comment:write_comment,215,655,649,761,777,1268,279,1611,0.0
selenium_create_comment:save_comment,215,602,625,660,665,673,140,688,0.0
selenium_create_comment,215,1698,1648,2035,2140,2413,1130,2995,0.0
selenium_view_blog,215,639,593,776,1157,1313,419,1598,0.0
selenium_view_dashboard,215,1121,1114,1177,1198,1240,1048,1353,0.0
selenium_app_custom_action:view_page,215,2535,2633,3016,3093,3224,1623,3519,0.0
selenium_app_custom_action,215,2535,2633,3016,3093,3225,1623,3519,0.0
selenium_log_out,215,179,176,188,194,208,169,253,0.0
