Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,76,1865,2313,2449,2804,6752,829,7890,0.0
locust_app_specific_action,7,473,369,667,740,799,328,814,0.0
locust_view_page:open_page,25,719,721,868,998,1042,448,1047,0.0
locust_upload_attachment,6,966,880,1368,1471,1553,631,1574,0.0
locust_view_dashboard,5,1328,1691,1754,1760,1764,718,1765,0.0
locust_view_attachment,3,166,165,168,169,169,163,169,0.0
locust_search_cql:recently_viewed,6,50,25,104,142,173,21,181,0.0
locust_view_page:view_page_tree,17,197,191,274,325,394,101,411,0.0
locust_create_and_edit_page:create_page_editor,5,231,79,476,485,491,62,493,60.0
locust_create_blog:blog_editor,2,350,350,531,553,571,125,576,50.0
locust_comment_page,2,120,120,204,214,223,15,225,100.0
locust_search_cql:search_results,6,432,367,590,690,769,320,789,0.0
locust_view_blog,4,1563,1586,1798,1812,1823,1254,1826,50.0
locust_create_and_edit_page:create_page,2,0,0,0,0,0,0,0,100.0
locust_create_blog:feel_and_publish,1,1207,1207,1207,1207,1207,1207,1207,0.0
selenium_login:open_login_page,2,2022,2022,3555,3746,3900,107,3938,0.0
selenium_login:login_and_view_dashboard,2,595,595,813,841,863,322,868,0.0
selenium_login,2,2702,2702,4452,4671,4846,513,4890,0.0
selenium_view_page,2,1420,1420,2098,2182,2250,572,2267,0.0
selenium_create_page:open_create_page_editor,2,20344,20344,20399,20406,20412,20274,20413,0.0
selenium_create_page,2,20344,20344,20399,20406,20412,20274,20413,0.0
selenium_edit_page:open_create_page_editor,2,20651,20651,20673,20675,20677,20624,20678,0.0
selenium_edit_page,2,20652,20652,20674,20676,20678,20624,20679,0.0
selenium_create_comment:write_comment,1,20296,20296,20296,20296,20296,20296,20296,0.0
selenium_create_comment,1,20801,20801,20801,20801,20801,20801,20801,0.0
selenium_view_blog,1,1336,1336,1336,1336,1336,1336,1336,0.0
selenium_view_dashboard,1,702,702,702,702,702,702,702,0.0
selenium_app_custom_action:view_page,1,397,397,397,397,397,397,397,0.0
selenium_app_custom_action,1,397,397,397,397,397,397,397,0.0
selenium_log_out,1,187,187,187,187,187,187,187,0.0
