Summary run status                                 OK
                 
Artifacts dir                                      2021-03-05_09-43-09 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        confluence          
Dataset info                                       912397 pages        
Application nodes count                            1                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           3011 sec            
Finished                                           (True, 'OK')        
Compliant                                          (True, 'OK')        
Success                                            (True, 'OK')        
Has app-specific actions                           False               

Action                                            Success Rate        Avg time            Status              
locust_comment_page                                100.0               0.161               OK                  
locust_create_and_edit_page:create_page            100.0               0.649               OK                  
locust_create_and_edit_page:create_page_editor     100.0               0.393               OK                  
locust_create_and_edit_page:edit_page              100.0               0.681               OK                  
locust_create_and_edit_page:open_editor            100.0               0.244               OK                  
locust_create_blog:blog_editor                     100.0               0.444               OK                  
locust_create_blog:feel_and_publish                100.0               0.655               OK                  
locust_like_page                                   100.0               0.059               OK                  
locust_login_and_view_dashboard                    100.0               2.194               OK                  
locust_search_cql:recently_viewed                  100.0               0.038               OK                  
locust_search_cql:search_results                   100.0               0.448               OK                  
locust_upload_attachment                           100.0               0.555               OK                  
locust_view_attachment                             100.0               0.125               OK                  
locust_view_blog                                   100.0               1.313               OK                  
locust_view_dashboard                              100.0               1.699               OK                  
locust_view_page:open_page                         100.0               0.612               OK                  
locust_view_page:view_page_tree                    100.0               0.055               OK                  
selenium_a_login                                   100.0               0.918               OK                  
selenium_create_comment                            100.0               1.724               OK                  
selenium_create_page                               100.0               1.976               OK                  
selenium_edit_page                                 96.83               3.164               OK                  
selenium_view_blog                                 100.0               0.678               OK                  
selenium_view_dashboard                            100.0               1.547               OK                  
selenium_view_page                                 100.0               0.487               OK                  
selenium_z_log_out                                 100.0               0.14                OK                  
