Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,4563,4579,4957,5094,5461,4046,6319,0.0
locust_search_recently_viewed,1698,90,86,104,107,118,71,224,0.0
locust_view_blog,1813,2285,2341,2712,3135,4742,1185,24951,0.0
locust_view_page,12379,1412,1417,1649,1825,2010,1042,100870,0.0
locust_search_cql,1695,604,585,654,706,1536,384,6826,0.0
locust_view_page_tree,12366,194,178,266,300,438,76,784,0.0
locust_view_dashboard,1349,3669,3719,3975,4047,4156,3266,4379,0.0
locust_create_page_editor,1347,954,871,1103,1113,1137,790,1432,0.0
locust_app_specific_action,1363,1012,1061,1289,1333,1407,615,1988,0.0
locust_upload_attachments,1189,1425,1058,1647,2007,9071,760,32544,0.0
locust_like_page,665,176,169,202,204,222,138,351,0.0
locust_comment_page,1128,213,190,276,286,315,134,348,0.0
locust_create_page,1345,1656,1514,1895,1912,1959,1389,2044,0.0
locust_view_attachments,670,205,187,308,340,379,133,442,0.0
locust_open_editor,1337,708,683,788,796,812,609,1699,0.0
locust_create_blog_editor,675,1007,1107,1169,1183,1208,808,1294,0.0
locust_edit_page,1329,1692,1554,1936,1953,1986,1407,2533,0.0
locust_create_blog,675,1658,1804,1892,1904,1943,1366,2014,0.0
selenium_login:open_login_page,163,216,196,210,250,277,190,2542,0.0
selenium_login:login_and_view_dashboard,163,940,929,1026,1039,1101,836,1529,0.0
selenium_login,163,1243,1215,1311,1338,1394,1118,4154,0.0
selenium_view_page,163,619,510,957,992,1134,405,3953,0.0
selenium_create_page:open_create_page_editor,163,1043,1018,1088,1144,1214,907,4104,0.0
selenium_create_page:save_created_page,163,929,863,1197,1296,1493,765,1534,0.0
selenium_create_page,163,2632,2556,2874,2947,3236,2381,6262,0.0
selenium_edit_page:open_create_page_editor,163,2499,2741,3174,3388,3682,1736,3735,0.0
selenium_edit_page:save_edited_page,163,1261,1173,1598,1679,1859,960,1863,0.0
selenium_edit_page,163,3784,3923,4651,4906,5180,2777,5620,0.0
selenium_create_comment:write_comment,163,1221,1294,1376,1432,2897,823,3188,0.0
selenium_create_comment:save_comment,163,627,630,639,642,648,587,652,0.0
selenium_create_comment,163,2317,2343,2607,2763,3977,1829,4329,0.0
selenium_view_blog,163,1148,1066,1628,1692,1767,556,2239,0.0
selenium_view_dashboard,163,3434,3384,3737,3756,3868,3232,3967,0.0
selenium_app_custom_action:view_page,163,1039,1017,1070,1090,1568,937,2036,0.0
selenium_app_custom_action,163,1039,1017,1070,1090,1568,937,2036,0.0
selenium_log_out,163,289,274,351,365,394,255,402,0.0
