Summary run status                                 OK
                 
Artifacts dir                                      2021-03-05_08-31-35 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        confluence          
Dataset info                                       911629 pages        
Application nodes count                            1                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           3011 sec            
Finished                                           (True, 'OK')        
Compliant                                          (True, 'OK')        
Success                                            (True, 'OK')        
Has app-specific actions                           False               

Action                                            Success Rate        Avg time            Status              
locust_comment_page                                100.0               0.159               OK                  
locust_create_and_edit_page:create_page            100.0               0.649               OK                  
locust_create_and_edit_page:create_page_editor     100.0               0.392               OK                  
locust_create_and_edit_page:edit_page              100.0               0.68                OK                  
locust_create_and_edit_page:open_editor            100.0               0.245               OK                  
locust_create_blog:blog_editor                     100.0               0.443               OK                  
locust_create_blog:feel_and_publish                100.0               0.655               OK                  
locust_like_page                                   100.0               0.062               OK                  
locust_login_and_view_dashboard                    100.0               2.195               OK                  
locust_search_cql:recently_viewed                  100.0               0.039               OK                  
locust_search_cql:search_results                   100.0               0.454               OK                  
locust_upload_attachment                           100.0               0.556               OK                  
locust_view_attachment                             100.0               0.122               OK                  
locust_view_blog                                   100.0               1.324               OK                  
locust_view_dashboard                              100.0               1.696               OK                  
locust_view_page:open_page                         100.0               0.616               OK                  
locust_view_page:view_page_tree                    100.0               0.057               OK                  
selenium_a_login                                   100.0               0.919               OK                  
selenium_create_comment                            100.0               1.712               OK                  
selenium_create_page                               100.0               1.973               OK                  
selenium_edit_page                                 96.4                3.253               OK                  
selenium_view_blog                                 100.0               0.688               OK                  
selenium_view_dashboard                            100.0               1.549               OK                  
selenium_view_page                                 100.0               0.486               OK                  
selenium_z_log_out                                 100.0               0.139               OK                  
