Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2502,2504,2605,2626,2642,2331,2705,0.0
locust_view_page:open_page,4735,646,581,1008,1062,1129,463,1253,0.0
locust_search_cql:recently_viewed,624,40,40,45,47,62,32,95,0.0
locust_view_blog,687,1305,1235,1434,1929,2040,629,2091,0.0
locust_upload_attachment,461,602,531,920,1010,1178,369,1320,0.0
locust_view_dashboard,540,1878,1872,1949,1968,2021,1754,2089,0.0
locust_create_and_edit_page:create_page_editor,508,399,395,416,438,460,369,468,0.0
locust_like_page,269,58,65,69,71,76,38,142,0.0
locust_view_page:view_page_tree,4696,109,96,179,194,225,22,372,0.0
locust_search_cql:search_results,616,486,490,544,582,1908,280,2304,0.0
locust_create_and_edit_page:create_page,501,658,654,691,707,736,605,767,0.0
locust_create_blog:blog_editor,247,448,446,469,495,522,415,559,0.0
locust_comment_page,391,178,175,229,240,258,128,272,0.0
locust_view_attachment,260,130,117,183,199,233,87,243,0.0
locust_create_and_edit_page:open_editor,492,248,244,263,281,309,225,369,0.0
locust_create_blog:feel_and_publish,243,665,662,696,710,745,627,770,0.0
locust_create_and_edit_page:edit_page,489,687,683,711,733,764,642,894,0.0
selenium_login:open_login_page,239,168,176,193,197,208,122,343,0.0
selenium_login:login_and_view_dashboard,239,770,755,834,843,890,712,909,0.0
selenium_login,239,1016,1005,1087,1099,1153,912,1300,0.0
selenium_view_page,239,494,419,815,1033,1106,305,1142,0.0
selenium_create_page:open_create_page_editor,239,664,652,734,774,791,535,795,0.0
selenium_create_page:save_created_page,239,642,639,670,687,721,564,744,0.0
selenium_create_page,239,1939,1932,2015,2043,2088,1778,2102,0.0
selenium_edit_page:open_create_page_editor,239,1673,1541,2570,2623,2723,972,2847,0.0
selenium_edit_page:save_edited_page,239,1090,750,1197,1225,12981,613,20120,0.0
selenium_edit_page,239,2785,2414,3375,3676,14945,1644,22320,0.0
selenium_create_comment:write_comment,239,664,654,691,707,1293,551,1629,0.0
selenium_create_comment:save_comment,239,615,612,627,632,639,600,645,0.0
selenium_create_comment,239,1717,1636,2035,2148,2402,1503,2665,0.0
selenium_view_blog,239,651,581,1233,1288,1336,405,1429,0.0
selenium_view_dashboard,239,1661,1653,1692,1724,1748,1627,1783,0.0
selenium_app_custom_action:view_page,239,764,747,841,869,964,677,993,0.0
selenium_app_custom_action,239,764,747,841,869,964,677,993,0.0
selenium_log_out,239,144,143,153,156,193,131,208,0.0
