Action,without app,with app
locust_login_and_view_dashboard,2494,2270
locust_view_page:open_page,888,854
locust_view_blog,1734,1724
locust_view_dashboard,1771,1756
locust_create_and_edit_page:create_page_editor,412,410
locust_comment_page,195,202
locust_search_cql:recently_viewed,41,42
locust_view_attachment,188,181
locust_view_page:view_page_tree,90,83
locust_like_page,70,69
locust_create_and_edit_page:create_page,685,676
locust_search_cql:search_results,498,496
locust_upload_attachment,774,769
locust_create_and_edit_page:open_editor,259,257
locust_create_and_edit_page:edit_page,710,710
locust_create_blog:blog_editor,472,469
locust_create_blog:feel_and_publish,693,690
selenium_login:open_login_page,138,139
selenium_login:login_and_view_dashboard,730,714
selenium_login,941,928
selenium_view_page,743,735
selenium_create_page:open_create_page_editor,740,759
selenium_create_page:save_created_page,678,679
selenium_create_page,2027,2056
selenium_edit_page:open_create_page_editor,2446,2604
selenium_edit_page:save_edited_page,1216,1172
selenium_edit_page,3542,3515
selenium_create_comment:write_comment,697,694
selenium_create_comment:save_comment,625,626
selenium_create_comment,1910,1967
selenium_view_blog,835,1073
selenium_view_dashboard,1572,1569
selenium_log_out,143,144
