Action,Node 1,Node 2,Node 4
jmeter_clone_repo_via_http,12592,17757,7836
jmeter_create_repo_shallow_copy,32,35,36
jmeter_git_add,3,3,4
jmeter_git_commit,6,6,7
jmeter_git_push_via_http,762,357,335
jmeter_git_fetch_via_http,403,180,192
jmeter_clone_repo_via_ssh,13251,18865,7761
jmeter_git_push_via_ssh,705,527,442
jmeter_git_fetch_via_ssh,1230,1261,611
selenium_login:open_login_page,184,181,179
selenium_login:login_get_started,403,389,376
selenium_login,657,668,658
selenium_view_dashboard,2626,1696,1598
selenium_create_pull_request:create_pull_request,8453,8265,7386
selenium_create_pull_request:merge_pull_request,3854,3326,2338
selenium_create_pull_request,13316,12458,10755
selenium_view_projects,474,528,494
selenium_view_project_repositories,298,285,290
selenium_view_repository,752,440,434
selenium_view_list_pull_requests,442,432,440
selenium_view_pull_request_overview,1295,1127,1303
selenium_view_pull_request_diff,986,932,1025
selenium_view_pull_request_commits,1621,1627,1055
selenium_comment_pull_request_file,1671,1687,2367
selenium_comment_pull_request_overview,1241,1149,1287
selenium_view_branches,878,914,929
selenium_view_commits,1262,1277,1320
selenium_app_custom_action:view_snippets_page,779,767,747
selenium_app_custom_action,780,767,748
selenium_log_out,177,174,175
