Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2132,2156,2519,2586,2704,1690,2764,0.0
locust_create_blog:blog_editor,753,413,344,564,584,613,244,767,0.0
locust_comment_page,1194,162,180,219,231,272,86,334,0.0
locust_view_page:open_page,12437,612,618,868,1086,1190,284,1420,0.0
locust_create_and_edit_page:create_page_editor,1343,360,317,484,498,545,210,1222,0.0
locust_view_attachment,673,150,132,256,282,314,82,329,0.0
locust_create_blog:feel_and_publish,752,644,538,859,878,927,385,988,0.0
locust_view_blog,1842,1371,1456,1810,1955,2358,439,2658,0.0
locust_view_page:view_page_tree,12427,132,120,209,245,318,12,511,0.0
locust_create_and_edit_page:create_page,1340,642,560,850,871,906,392,1307,0.0
locust_create_and_edit_page:open_editor,1335,235,256,306,316,356,144,538,0.0
locust_search_cql:recently_viewed,1590,34,35,48,50,74,9,122,0.0
locust_like_page,694,60,52,85,88,104,24,149,0.0
locust_upload_attachment,1123,659,602,959,1059,1195,373,1347,0.0
locust_app_specific_action,1307,7517,7624,10506,10944,11309,1600,11714,0.0
locust_search_cql:search_results,1587,416,398,454,498,1266,212,5919,0.0
locust_create_and_edit_page:edit_page,1329,685,603,896,921,970,407,1016,0.0
locust_view_dashboard,1306,1519,1694,1838,1864,1925,1129,2452,0.0
selenium_login:open_login_page,132,113,109,119,123,195,103,331,0.0
selenium_login:login_and_view_dashboard,132,831,824,898,923,973,704,1105,0.0
selenium_login,132,1037,1028,1108,1127,1252,897,1305,0.0
selenium_view_page,132,678,703,911,936,991,380,1032,0.0
selenium_create_page:open_create_page_editor,132,756,754,843,867,917,607,933,0.0
selenium_create_page:save_created_page,132,649,647,695,705,726,574,743,0.0
selenium_create_page,132,2060,2052,2163,2193,2254,1884,2260,0.0
selenium_edit_page:open_create_page_editor,132,1973,2105,2724,2791,2981,978,3244,0.0
selenium_edit_page:save_edited_page,132,943,856,1273,1303,1394,689,1408,0.0
selenium_edit_page,132,2944,2993,3757,3912,4109,1717,4276,0.0
selenium_create_comment:write_comment,132,566,636,757,786,857,290,864,0.0
selenium_create_comment:save_comment,132,630,628,640,644,656,616,657,0.0
selenium_create_comment,132,1705,1680,2042,2150,2275,1329,2281,0.0
selenium_view_blog,132,933,918,1073,1118,1487,688,1515,0.0
selenium_view_dashboard,132,1152,1148,1194,1211,1252,1094,1291,0.0
selenium_app_custom_action:view_page,132,9671,9961,12027,12188,12358,3364,12360,0.0
selenium_app_custom_action,132,9672,9961,12028,12188,12358,3364,12360,0.0
selenium_log_out,132,194,192,205,213,247,175,251,0.0
