Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
locust_login_and_view_dashboard,200,2104,2068,2306,2367,3594,1704,5579,0.0
locust_view_page:open_page,4733,657,625,902,985,1095,384,3870,0.0
locust_comment_page,422,210,206,267,286,324,115,1036,0.0
locust_view_dashboard,514,1518,1472,1780,1808,1855,1201,1902,0.0
locust_search_cql:recently_viewed,641,38,38,49,51,59,19,196,0.0
locust_view_blog,684,1398,1385,1846,2004,2206,672,2586,0.0
locust_like_page,242,63,60,85,88,116,30,201,0.0
locust_view_attachment,275,182,150,302,333,364,100,470,0.0
locust_view_page:view_page_tree,4693,123,104,196,242,368,26,585,0.0
locust_upload_attachment,395,731,690,992,1058,1191,459,1346,0.0
locust_create_and_edit_page:create_page_editor,501,384,391,462,475,501,284,1423,0.0
locust_search_cql:search_results,634,450,438,490,532,1557,249,6659,0.0
locust_create_and_edit_page:create_page,498,697,694,814,828,862,548,1654,0.0
locust_create_blog:blog_editor,279,450,432,548,561,579,336,1076,0.0
locust_create_and_edit_page:open_editor,488,257,254,294,306,340,203,356,0.0
locust_create_blog:feel_and_publish,277,710,688,814,833,875,544,1718,0.0
locust_create_and_edit_page:edit_page,483,743,729,855,869,918,612,1723,0.0
selenium_login:open_login_page,247,135,126,129,131,140,118,2162,0.0
selenium_login:login_and_view_dashboard,247,635,627,694,710,757,548,1074,0.0
selenium_login,247,849,832,897,915,961,749,3316,0.0
selenium_view_page,247,582,514,796,948,1083,376,2493,0.0
selenium_create_page:open_create_page_editor,247,723,695,798,830,906,611,2233,0.0
selenium_create_page:save_created_page,247,625,615,645,661,689,573,2064,0.0
selenium_create_page,247,1813,1913,2023,2057,2129,1412,5448,0.0
selenium_edit_page:open_create_page_editor,247,1630,1570,2344,2636,2756,1003,3173,0.0
selenium_edit_page:save_edited_page,247,1165,880,1209,1300,11565,675,20197,0.0
selenium_edit_page,247,2817,2569,3389,3644,13962,1710,22950,0.0
selenium_create_comment:write_comment,247,663,657,705,732,1080,344,1786,0.0
selenium_create_comment:save_comment,247,615,614,624,627,639,592,641,0.0
selenium_create_comment,247,1725,1679,1925,1979,2180,1493,2785,0.0
selenium_view_blog,247,1041,1015,1412,1536,1788,578,1908,0.0
selenium_view_dashboard,247,1485,1486,1511,1521,1547,1432,1642,0.0
selenium_app_custom_action:view_page,247,356,349,387,408,454,275,739,0.0
selenium_app_custom_action,247,356,350,387,408,454,275,739,0.0
selenium_log_out,247,156,149,191,197,216,133,285,0.0
